Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Microseconds),Correctness
256x256,3,1,1,3730.48,Correct!
256x256,3,1,2,4522.52,Correct!
256x256,3,1,3,4415.09,Correct!
256x256,3,1,4,3671.88,Correct!
256x256,3,1,5,8368.96,Correct!
256x256,3,1,6,3716.66,Correct!
256x256,3,1,7,5482.57,Correct!
256x256,3,1,8,4456.92,Correct!
256x256,3,1,9,3686.82,Correct!
256x256,3,1,10,6236.82,Correct!
256x256,3,1,11,3695.64,Correct!
256x256,3,1,12,6425.87,Correct!
256x256,3,1,13,3703.83,Correct!
256x256,3,1,14,5493.92,Correct!
256x256,3,1,15,4433.28,Correct!
256x256,3,1,16,3693.82,Correct!
256x256,3,1,17,8363.62,Correct!
256x256,3,1,18,3694.53,Correct!
256x256,3,1,19,11714.00,Correct!
256x256,3,1,20,3700.01,Correct!
256x256,3,1,21,5495.57,Correct!
256x256,3,1,22,4400.05,Correct!
256x256,3,1,23,3697.03,Correct!
256x256,3,1,24,4144.98,Correct!
256x256,3,1,25,4435.39,Correct!
256x256,3,1,26,3679.81,Correct!
256x256,3,1,27,4377.09,Correct!
256x256,3,1,28,3703.17,Correct!
256x256,3,1,29,4800.18,Correct!
256x256,3,1,30,4406.88,Correct!
256x256,3,1,1,3973.52,Correct!
256x256,3,1,2,7990.75,Correct!
256x256,3,1,3,3995.37,Correct!
256x256,3,1,4,4589.43,Correct!
256x256,3,1,5,4897.73,Correct!
256x256,3,1,6,4387.59,Correct!
256x256,3,1,7,5640.68,Correct!
256x256,3,1,8,3979.59,Correct!
256x256,3,1,9,4244.47,Correct!
256x256,3,1,10,4940.44,Correct!
256x256,3,1,11,3996.47,Correct!
256x256,3,1,12,4256.24,Correct!
256x256,3,1,13,4910.22,Correct!
256x256,3,1,14,3984.11,Correct!
256x256,3,1,15,4900.21,Correct!
256x256,3,1,16,3984.29,Correct!
256x256,3,1,17,4256.15,Correct!
256x256,3,1,18,6258.45,Correct!
256x256,3,1,19,3996.35,Correct!
256x256,3,1,20,7532.53,Correct!
256x256,3,1,21,3997.55,Correct!
256x256,3,1,22,4303.82,Correct!
256x256,3,1,23,4953.12,Correct!
256x256,3,1,24,3988.02,Correct!
256x256,3,1,25,7595.39,Correct!
256x256,3,1,26,3989.85,Correct!
256x256,3,1,27,4387.92,Correct!
256x256,3,1,28,4919.07,Correct!
256x256,3,1,29,3968.33,Correct!
256x256,3,1,30,5900.20,Correct!
256x256,3,2,1,2480.54,Correct!
256x256,3,2,2,2962.98,Correct!
256x256,3,2,3,12879.82,Correct!
256x256,3,2,4,2387.73,Correct!
256x256,3,2,5,2951.49,Correct!
256x256,3,2,6,2373.14,Correct!
256x256,3,2,7,2337.82,Correct!
256x256,3,2,8,2886.50,Correct!
256x256,3,2,9,2378.20,Correct!
256x256,3,2,10,5581.09,Correct!
256x256,3,2,11,2379.88,Correct!
256x256,3,2,12,2724.63,Correct!
256x256,3,2,13,13489.91,Correct!
256x256,3,2,14,2341.87,Correct!
256x256,3,2,15,3461.88,Correct!
256x256,3,2,16,2598.94,Correct!
256x256,3,2,17,2358.91,Correct!
256x256,3,2,18,9648.26,Correct!
256x256,3,2,19,2351.18,Correct!
256x256,3,2,20,2321.05,Correct!
256x256,3,2,21,2652.78,Correct!
256x256,3,2,22,2445.05,Correct!
256x256,3,2,23,9124.32,Correct!
256x256,3,2,24,2357.14,Correct!
256x256,3,2,25,3651.23,Correct!
256x256,3,2,26,2492.30,Correct!
256x256,3,2,27,2601.18,Correct!
256x256,3,2,28,3283.15,Correct!
256x256,3,2,29,2348.68,Correct!
256x256,3,2,30,2669.44,Correct!
256x256,3,4,1,2247.39,Correct!
256x256,3,4,2,1602.02,Correct!
256x256,3,4,3,9987.18,Correct!
256x256,3,4,4,1828.10,Correct!
256x256,3,4,5,1650.03,Correct!
256x256,3,4,6,1994.98,Correct!
256x256,3,4,7,1685.75,Correct!
256x256,3,4,8,11227.73,Correct!
256x256,3,4,9,1784.68,Correct!
256x256,3,4,10,1766.24,Correct!
256x256,3,4,11,2006.95,Correct!
256x256,3,4,12,1659.77,Correct!
256x256,3,4,13,2123.50,Correct!
256x256,3,4,14,1959.91,Correct!
256x256,3,4,15,1770.59,Correct!
256x256,3,4,16,17579.93,Correct!
256x256,3,4,17,1688.11,Correct!
256x256,3,4,18,3188.01,Correct!
256x256,3,4,19,1737.50,Correct!
256x256,3,4,20,1886.49,Correct!
256x256,3,4,21,2049.02,Correct!
256x256,3,4,22,1679.17,Correct!
256x256,3,4,23,6634.52,Correct!
256x256,3,4,24,1729.07,Correct!
256x256,3,4,25,1682.53,Correct!
256x256,3,4,26,8064.38,Correct!
256x256,3,4,27,1691.30,Correct!
256x256,3,4,28,6643.70,Correct!
256x256,3,4,29,1649.12,Correct!
256x256,3,4,30,1577.51,Correct!
256x256,3,8,1,1975.78,Correct!
256x256,3,8,2,1497.88,Correct!
256x256,3,8,3,14933.26,Correct!
256x256,3,8,4,1328.71,Correct!
256x256,3,8,5,12688.82,Correct!
256x256,3,8,6,1362.98,Correct!
256x256,3,8,7,1746.68,Correct!
256x256,3,8,8,1373.80,Correct!
256x256,3,8,9,1301.31,Correct!
256x256,3,8,10,13273.49,Correct!
256x256,3,8,11,1198.37,Correct!
256x256,3,8,12,1490.15,Correct!
256x256,3,8,13,8066.51,Correct!
256x256,3,8,14,1298.59,Correct!
256x256,3,8,15,2027.44,Correct!
256x256,3,8,16,1351.82,Correct!
256x256,3,8,17,1357.02,Correct!
256x256,3,8,18,8353.56,Correct!
256x256,3,8,19,1349.57,Correct!
256x256,3,8,20,1514.75,Correct!
256x256,3,8,21,1360.38,Correct!
256x256,3,8,22,1242.36,Correct!
256x256,3,8,23,13319.66,Correct!
256x256,3,8,24,1303.59,Correct!
256x256,3,8,25,1335.91,Correct!
256x256,3,8,26,1885.91,Correct!
256x256,3,8,27,1376.23,Correct!
256x256,3,8,28,1645.54,Correct!
256x256,3,8,29,2013.55,Correct!
256x256,3,8,30,1119.46,Correct!
256x256,3,16,1,1408.88,Correct!
256x256,3,16,2,1631.09,Correct!
256x256,3,16,3,1484.19,Correct!
256x256,3,16,4,10029.29,Correct!
256x256,3,16,5,1361.28,Correct!
256x256,3,16,6,1282.08,Correct!
256x256,3,16,7,10943.80,Correct!
256x256,3,16,8,1400.32,Correct!
256x256,3,16,9,4235.59,Correct!
256x256,3,16,10,1432.81,Correct!
256x256,3,16,11,1378.13,Correct!
256x256,3,16,12,2047.03,Correct!
256x256,3,16,13,1532.02,Correct!
256x256,3,16,14,22095.60,Correct!
256x256,3,16,15,1390.57,Correct!
256x256,3,16,16,15705.52,Correct!
256x256,3,16,17,1376.01,Correct!
256x256,3,16,18,1981.16,Correct!
256x256,3,16,19,1189.11,Correct!
256x256,3,16,20,1732.34,Correct!
256x256,3,16,21,12403.55,Correct!
256x256,3,16,22,1509.14,Correct!
256x256,3,16,23,11035.80,Correct!
256x256,3,16,24,1511.42,Correct!
256x256,3,16,25,4112.99,Correct!
256x256,3,16,26,1443.10,Correct!
256x256,3,16,27,1452.19,Correct!
256x256,3,16,28,1605.40,Correct!
256x256,3,16,29,1422.22,Correct!
256x256,3,16,30,4055.98,Correct!
256x256,3,32,1,1894.56,Correct!
256x256,3,32,2,1742.85,Correct!
256x256,3,32,3,9096.24,Correct!
256x256,3,32,4,2000.68,Correct!
256x256,3,32,5,19965.96,Correct!
256x256,3,32,6,1855.86,Correct!
256x256,3,32,7,13283.09,Correct!
256x256,3,32,8,1868.46,Correct!
256x256,3,32,9,1950.74,Correct!
256x256,3,32,10,1809.07,Correct!
256x256,3,32,11,1767.12,Correct!
256x256,3,32,12,11953.59,Correct!
256x256,3,32,13,1952.38,Correct!
256x256,3,32,14,20261.47,Correct!
256x256,3,32,15,2159.30,Correct!
256x256,3,32,16,13346.95,Correct!
256x256,3,32,17,2012.61,Correct!
256x256,3,32,18,23616.84,Correct!
256x256,3,32,19,2032.25,Correct!
256x256,3,32,20,1849.39,Correct!
256x256,3,32,21,1963.29,Correct!
256x256,3,32,22,2110.87,Correct!
256x256,3,32,23,7044.34,Correct!
256x256,3,32,24,1912.99,Correct!
256x256,3,32,25,16706.89,Correct!
256x256,3,32,26,1868.73,Correct!
256x256,3,32,27,2217.57,Correct!
256x256,3,32,28,1913.75,Correct!
256x256,3,32,29,1777.94,Correct!
256x256,3,32,30,19600.91,Correct!
256x256,5,1,1,10725.54,Correct!
256x256,5,1,2,8629.05,Correct!
256x256,5,1,3,9741.76,Correct!
256x256,5,1,4,10273.78,Correct!
256x256,5,1,5,9957.30,Correct!
256x256,5,1,6,14054.82,Correct!
256x256,5,1,7,9508.25,Correct!
256x256,5,1,8,10649.05,Correct!
256x256,5,1,9,8498.30,Correct!
256x256,5,1,10,11601.29,Correct!
256x256,5,1,11,8496.60,Correct!
256x256,5,1,12,10457.95,Correct!
256x256,5,1,13,8523.73,Correct!
256x256,5,1,14,15518.72,Correct!
256x256,5,1,15,8518.09,Correct!
256x256,5,1,16,15283.53,Correct!
256x256,5,1,17,8514.81,Correct!
