Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Microseconds),Correctness
256x256,3,1,1,,
256x256,3,1,2,,
256x256,3,1,3,,
256x256,3,1,4,,
256x256,3,1,5,,
256x256,3,1,6,,
256x256,3,1,7,,
256x256,3,1,8,,
256x256,3,1,9,,
256x256,3,1,10,,
256x256,3,1,11,,
256x256,3,1,12,,
256x256,3,1,13,,
256x256,3,1,14,,
256x256,3,1,15,,
256x256,3,1,16,,
256x256,3,1,17,,
256x256,3,1,18,,
256x256,3,1,19,,
256x256,3,1,20,,
256x256,3,1,21,,
256x256,3,1,22,,
256x256,3,1,23,,
256x256,3,1,24,,
256x256,3,1,25,,
256x256,3,1,26,,
256x256,3,1,27,,
256x256,3,1,28,,
256x256,3,1,29,,
256x256,3,1,30,,
256x256,3,1,1,,
256x256,3,1,2,,
256x256,3,1,3,,
256x256,3,1,4,,
256x256,3,1,5,,
256x256,3,1,6,,
256x256,3,1,7,,
256x256,3,1,8,,
256x256,3,1,9,,
256x256,3,1,10,,
256x256,3,1,11,,
256x256,3,1,12,,
256x256,3,1,13,,
256x256,3,1,14,,
256x256,3,1,15,,
256x256,3,1,16,,
256x256,3,1,17,,
256x256,3,1,18,,
256x256,3,1,19,,
256x256,3,1,20,,
256x256,3,1,21,,
256x256,3,1,22,,
256x256,3,1,23,,
256x256,3,1,24,,
256x256,3,1,25,,
256x256,3,1,26,,
256x256,3,1,27,,
256x256,3,1,28,,
256x256,3,1,29,,
256x256,3,1,30,,
256x256,3,2,1,,
256x256,3,2,2,,
256x256,3,2,3,,
256x256,3,2,4,,
256x256,3,2,5,,
256x256,3,2,6,,
256x256,3,2,7,,
256x256,3,2,8,,
256x256,3,2,9,,
256x256,3,2,10,,
256x256,3,2,11,,
256x256,3,2,12,,
256x256,3,2,13,,
256x256,3,2,14,,
256x256,3,2,15,,
256x256,3,2,16,,
256x256,3,2,17,,
256x256,3,2,18,,
256x256,3,2,19,,
256x256,3,2,20,,
256x256,3,2,21,,
256x256,3,2,22,,
256x256,3,2,23,,
256x256,3,2,24,,
256x256,3,2,25,,
256x256,3,2,26,,
256x256,3,2,27,,
256x256,3,2,28,,
256x256,3,2,29,,
256x256,3,2,30,,
256x256,3,4,1,,
256x256,3,4,2,,
256x256,3,4,3,,
256x256,3,4,4,,
256x256,3,4,5,,
256x256,3,4,6,,
256x256,3,4,7,,
256x256,3,4,8,,
256x256,3,4,9,,
256x256,3,4,10,,
256x256,3,4,11,,
256x256,3,4,12,,
256x256,3,4,13,,
256x256,3,4,14,,
256x256,3,4,15,,
256x256,3,4,16,,
256x256,3,4,17,,
256x256,3,4,18,,
256x256,3,4,19,,
256x256,3,4,20,,
256x256,3,4,21,,
256x256,3,4,22,,
256x256,3,4,23,,
256x256,3,4,24,,
256x256,3,4,25,,
256x256,3,4,26,,
256x256,3,4,27,,
256x256,3,4,28,,
256x256,3,4,29,,
256x256,3,4,30,,
256x256,3,8,1,,
256x256,3,8,2,,
256x256,3,8,3,,
256x256,3,8,4,,
256x256,3,8,5,,
256x256,3,8,6,,
256x256,3,8,7,,
256x256,3,8,8,,
256x256,3,8,9,,
256x256,3,8,10,,
256x256,3,8,11,,
256x256,3,8,12,,
256x256,3,8,13,,
256x256,3,8,14,,
256x256,3,8,15,,
256x256,3,8,16,,
256x256,3,8,17,,
256x256,3,8,18,,
256x256,3,8,19,,
256x256,3,8,20,,
256x256,3,8,21,,
256x256,3,8,22,,
256x256,3,8,23,,
256x256,3,8,24,,
256x256,3,8,25,,
256x256,3,8,26,,
256x256,3,8,27,,
256x256,3,8,28,,
256x256,3,8,29,,
256x256,3,8,30,,
256x256,3,16,1,,
256x256,3,16,2,,
256x256,3,16,3,,
256x256,3,16,4,,
256x256,3,16,5,,
256x256,3,16,6,,
256x256,3,16,7,,
256x256,3,16,8,,
256x256,3,16,9,,
256x256,3,16,10,,
256x256,3,16,11,,
256x256,3,16,12,,
256x256,3,16,13,,
256x256,3,16,14,,
256x256,3,16,15,,
256x256,3,16,16,,
256x256,3,16,17,,
256x256,3,16,18,,
256x256,3,16,19,,
256x256,3,16,20,,
256x256,3,16,21,,
256x256,3,16,22,,
256x256,3,16,23,,
256x256,3,16,24,,
256x256,3,16,25,,
256x256,3,16,26,,
256x256,3,16,27,,
256x256,3,16,28,,
256x256,3,16,29,,
256x256,3,16,30,,
256x256,3,32,1,,
256x256,3,32,2,,
256x256,3,32,3,,
256x256,3,32,4,,
256x256,3,32,5,,
256x256,3,32,6,,
256x256,3,32,7,,
256x256,3,32,8,,
256x256,3,32,9,,
256x256,3,32,10,,
256x256,3,32,11,,
256x256,3,32,12,,
256x256,3,32,13,,
256x256,3,32,14,,
256x256,3,32,15,,
256x256,3,32,16,,
256x256,3,32,17,,
256x256,3,32,18,,
256x256,3,32,19,,
256x256,3,32,20,,
256x256,3,32,21,,
256x256,3,32,22,,
256x256,3,32,23,,
256x256,3,32,24,,
256x256,3,32,25,,
256x256,3,32,26,,
256x256,3,32,27,,
256x256,3,32,28,,
256x256,3,32,29,,
256x256,3,32,30,,
256x256,5,1,1,,
256x256,5,1,2,,
256x256,5,1,3,,
256x256,5,1,4,,
256x256,5,1,5,,
256x256,5,1,6,,
256x256,5,1,7,,
256x256,5,1,8,,
256x256,5,1,9,,
256x256,5,1,10,,
256x256,5,1,11,,
256x256,5,1,12,,
256x256,5,1,13,,
256x256,5,1,14,,
256x256,5,1,15,,
256x256,5,1,16,,
256x256,5,1,17,,
256x256,5,1,18,,
256x256,5,1,19,,
256x256,5,1,20,,
256x256,5,1,21,,
256x256,5,1,22,,
256x256,5,1,23,,
256x256,5,1,24,,
256x256,5,1,25,,
256x256,5,1,26,,
256x256,5,1,27,,
256x256,5,1,28,,
256x256,5,1,29,,
256x256,5,1,30,,
256x256,5,1,1,,
256x256,5,1,2,,
256x256,5,1,3,,
256x256,5,1,4,,
256x256,5,1,5,,
256x256,5,1,6,,
256x256,5,1,7,,
256x256,5,1,8,,
256x256,5,1,9,,
256x256,5,1,10,,
256x256,5,1,11,,
256x256,5,1,12,,
256x256,5,1,13,,
256x256,5,1,14,,
256x256,5,1,15,,
256x256,5,1,16,,
256x256,5,1,17,,
256x256,5,1,18,,
256x256,5,1,19,,
256x256,5,1,20,,
256x256,5,1,21,,
256x256,5,1,22,,
256x256,5,1,23,,
256x256,5,1,24,,
256x256,5,1,25,,
256x256,5,1,26,,
256x256,5,1,27,,
256x256,5,1,28,,
256x256,5,1,29,,
256x256,5,1,30,,
256x256,5,2,1,,
256x256,5,2,2,,
256x256,5,2,3,,
256x256,5,2,4,,
256x256,5,2,5,,
256x256,5,2,6,,
256x256,5,2,7,,
256x256,5,2,8,,
256x256,5,2,9,,
256x256,5,2,10,,
256x256,5,2,11,,
256x256,5,2,12,,
256x256,5,2,13,,
256x256,5,2,14,,
256x256,5,2,15,,
256x256,5,2,16,,
256x256,5,2,17,,
256x256,5,2,18,,
256x256,5,2,19,,
256x256,5,2,20,,
256x256,5,2,21,,
256x256,5,2,22,,
256x256,5,2,23,,
256x256,5,2,24,,
256x256,5,2,25,,
256x256,5,2,26,,
256x256,5,2,27,,
256x256,5,2,28,,
256x256,5,2,29,,
256x256,5,2,30,,
256x256,5,4,1,,
256x256,5,4,2,,
256x256,5,4,3,,
256x256,5,4,4,,
256x256,5,4,5,,
256x256,5,4,6,,
256x256,5,4,7,,
256x256,5,4,8,,
256x256,5,4,9,,
256x256,5,4,10,,
256x256,5,4,11,,
256x256,5,4,12,,
256x256,5,4,13,,
256x256,5,4,14,,
256x256,5,4,15,,
256x256,5,4,16,,
256x256,5,4,17,,
256x256,5,4,18,,
256x256,5,4,19,,
256x256,5,4,20,,
256x256,5,4,21,,
256x256,5,4,22,,
256x256,5,4,23,,
256x256,5,4,24,,
256x256,5,4,25,,
256x256,5,4,26,,
256x256,5,4,27,,
256x256,5,4,28,,
256x256,5,4,29,,
256x256,5,4,30,,
256x256,5,8,1,,
256x256,5,8,2,,
256x256,5,8,3,,
256x256,5,8,4,,
256x256,5,8,5,,
256x256,5,8,6,,
256x256,5,8,7,,
256x256,5,8,8,,
256x256,5,8,9,,
256x256,5,8,10,,
256x256,5,8,11,,
256x256,5,8,12,,
256x256,5,8,13,,
256x256,5,8,14,,
256x256,5,8,15,,
256x256,5,8,16,,
256x256,5,8,17,,
256x256,5,8,18,,
256x256,5,8,19,,
256x256,5,8,20,,
256x256,5,8,21,,
256x256,5,8,22,,
256x256,5,8,23,,
256x256,5,8,24,,
256x256,5,8,25,,
256x256,5,8,26,,
256x256,5,8,27,,
256x256,5,8,28,,
256x256,5,8,29,,
256x256,5,8,30,,
256x256,5,16,1,,
256x256,5,16,2,,
256x256,5,16,3,,
256x256,5,16,4,,
256x256,5,16,5,,
256x256,5,16,6,,
256x256,5,16,7,,
256x256,5,16,8,,
256x256,5,16,9,,
256x256,5,16,10,,
256x256,5,16,11,,
256x256,5,16,12,,
256x256,5,16,13,,
256x256,5,16,14,,
256x256,5,16,15,,
256x256,5,16,16,,
256x256,5,16,17,,
256x256,5,16,18,,
256x256,5,16,19,,
256x256,5,16,20,,
256x256,5,16,21,,
256x256,5,16,22,,
256x256,5,16,23,,
256x256,5,16,24,,
256x256,5,16,25,,
256x256,5,16,26,,
256x256,5,16,27,,
256x256,5,16,28,,
256x256,5,16,29,,
256x256,5,16,30,,
256x256,5,32,1,,
256x256,5,32,2,,
256x256,5,32,3,,
256x256,5,32,4,,
256x256,5,32,5,,
256x256,5,32,6,,
256x256,5,32,7,,
256x256,5,32,8,,
256x256,5,32,9,,
256x256,5,32,10,,
256x256,5,32,11,,
256x256,5,32,12,,
256x256,5,32,13,,
256x256,5,32,14,,
256x256,5,32,15,,
256x256,5,32,16,,
256x256,5,32,17,,
256x256,5,32,18,,
256x256,5,32,19,,
256x256,5,32,20,,
256x256,5,32,21,,
256x256,5,32,22,,
256x256,5,32,23,,
256x256,5,32,24,,
256x256,5,32,25,,
256x256,5,32,26,,
256x256,5,32,27,,
256x256,5,32,28,,
256x256,5,32,29,,
256x256,5,32,30,,
256x256,7,1,1,,
256x256,7,1,2,,
256x256,7,1,3,,
256x256,7,1,4,,
256x256,7,1,5,,
256x256,7,1,6,,
256x256,7,1,7,,
256x256,7,1,8,,
256x256,7,1,9,,
256x256,7,1,10,,
256x256,7,1,11,,
256x256,7,1,12,,
256x256,7,1,13,,
256x256,7,1,14,,
256x256,7,1,15,,
256x256,7,1,16,,
256x256,7,1,17,,
256x256,7,1,18,,
256x256,7,1,19,,
256x256,7,1,20,,
256x256,7,1,21,,
256x256,7,1,22,,
256x256,7,1,23,,
256x256,7,1,24,,
256x256,7,1,25,,
256x256,7,1,26,,
256x256,7,1,27,,
256x256,7,1,28,,
256x256,7,1,29,,
256x256,7,1,30,,
256x256,7,1,1,,
256x256,7,1,2,,
256x256,7,1,3,,
256x256,7,1,4,,
256x256,7,1,5,,
256x256,7,1,6,,
256x256,7,1,7,,
256x256,7,1,8,,
256x256,7,1,9,,
256x256,7,1,10,,
256x256,7,1,11,,
256x256,7,1,12,,
256x256,7,1,13,,
256x256,7,1,14,,
256x256,7,1,15,,
256x256,7,1,16,,
256x256,7,1,17,,
256x256,7,1,18,,
256x256,7,1,19,,
256x256,7,1,20,,
256x256,7,1,21,,
256x256,7,1,22,,
256x256,7,1,23,,
256x256,7,1,24,,
256x256,7,1,25,,
256x256,7,1,26,,
256x256,7,1,27,,
256x256,7,1,28,,
256x256,7,1,29,,
256x256,7,1,30,,
256x256,7,2,1,,
256x256,7,2,2,,
256x256,7,2,3,,
256x256,7,2,4,,
256x256,7,2,5,,
256x256,7,2,6,,
256x256,7,2,7,,
256x256,7,2,8,,
256x256,7,2,9,,
256x256,7,2,10,,
256x256,7,2,11,,
256x256,7,2,12,,
256x256,7,2,13,,
256x256,7,2,14,,
256x256,7,2,15,,
256x256,7,2,16,,
256x256,7,2,17,,
256x256,7,2,18,,
256x256,7,2,19,,
256x256,7,2,20,,
256x256,7,2,21,,
256x256,7,2,22,,
256x256,7,2,23,,
256x256,7,2,24,,
256x256,7,2,25,,
256x256,7,2,26,,
256x256,7,2,27,,
256x256,7,2,28,,
256x256,7,2,29,,
256x256,7,2,30,,
256x256,7,4,1,,
256x256,7,4,2,,
256x256,7,4,3,,
256x256,7,4,4,,
256x256,7,4,5,,
256x256,7,4,6,,
256x256,7,4,7,,
256x256,7,4,8,,
256x256,7,4,9,,
256x256,7,4,10,,
256x256,7,4,11,,
256x256,7,4,12,,
256x256,7,4,13,,
256x256,7,4,14,,
256x256,7,4,15,,
256x256,7,4,16,,
256x256,7,4,17,,
256x256,7,4,18,,
256x256,7,4,19,,
256x256,7,4,20,,
256x256,7,4,21,,
256x256,7,4,22,,
256x256,7,4,23,,
256x256,7,4,24,,
256x256,7,4,25,,
256x256,7,4,26,,
256x256,7,4,27,,
256x256,7,4,28,,
256x256,7,4,29,,
256x256,7,4,30,,
256x256,7,8,1,,
256x256,7,8,2,,
256x256,7,8,3,,
256x256,7,8,4,,
256x256,7,8,5,,
256x256,7,8,6,,
256x256,7,8,7,,
256x256,7,8,8,,
256x256,7,8,9,,
256x256,7,8,10,,
256x256,7,8,11,,
256x256,7,8,12,,
256x256,7,8,13,,
256x256,7,8,14,,
256x256,7,8,15,,
256x256,7,8,16,,
256x256,7,8,17,,
256x256,7,8,18,,
256x256,7,8,19,,
256x256,7,8,20,,
256x256,7,8,21,,
256x256,7,8,22,,
256x256,7,8,23,,
256x256,7,8,24,,
256x256,7,8,25,,
256x256,7,8,26,,
256x256,7,8,27,,
256x256,7,8,28,,
256x256,7,8,29,,
256x256,7,8,30,,
256x256,7,16,1,,
256x256,7,16,2,,
256x256,7,16,3,,
256x256,7,16,4,,
256x256,7,16,5,,
256x256,7,16,6,,
256x256,7,16,7,,
