Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Microseconds),Correctness
256x256,3,1,1,,
256x256,3,1,2,,
256x256,3,1,3,,
256x256,3,1,4,,
256x256,3,1,5,,
256x256,3,1,6,,
256x256,3,1,7,,
256x256,3,1,8,,
256x256,3,1,9,,
256x256,3,1,10,,
256x256,3,1,11,,
256x256,3,1,12,,
256x256,3,1,13,,
256x256,3,1,14,,
256x256,3,1,15,,
256x256,3,1,16,,
256x256,3,1,17,,
256x256,3,1,18,,
256x256,3,1,19,,
256x256,3,1,20,,
256x256,3,1,21,,
256x256,3,1,22,,
256x256,3,1,23,,
256x256,3,1,24,,
256x256,3,1,25,,
256x256,3,1,26,,
256x256,3,1,27,,
256x256,3,1,28,,
256x256,3,1,29,,
256x256,3,1,30,,
256x256,3,1,1,5908.21,Correct!
256x256,3,1,2,4627.28,Correct!
256x256,3,1,3,12491.97,Correct!
256x256,3,1,4,6020.45,Correct!
256x256,3,1,5,5202.82,Correct!
256x256,3,1,6,8418.09,Correct!
256x256,3,1,7,5254.63,Correct!
256x256,3,1,8,5306.68,Correct!
256x256,3,1,9,4651.71,Correct!
256x256,3,1,10,4595.25,Correct!
256x256,3,1,11,11225.82,Correct!
256x256,3,1,12,5619.87,Correct!
256x256,3,1,13,4752.55,Correct!
256x256,3,1,14,8253.92,Correct!
256x256,3,1,15,4598.71,Correct!
256x256,3,1,16,6970.09,Correct!
256x256,3,1,17,4613.59,Correct!
256x256,3,1,18,8828.80,Correct!
256x256,3,1,19,4884.24,Correct!
256x256,3,1,20,4857.75,Correct!
256x256,3,1,21,4630.42,Correct!
256x256,3,1,22,4597.81,Correct!
256x256,3,1,23,5122.77,Correct!
256x256,3,1,24,4619.94,Correct!
256x256,3,1,25,5077.93,Correct!
256x256,3,1,26,5223.84,Correct!
256x256,3,1,27,4601.38,Correct!
256x256,3,1,28,6614.16,Correct!
256x256,3,1,29,5848.15,Correct!
256x256,3,1,30,4730.60,Correct!
256x256,3,2,1,4622.35,Correct!
256x256,3,2,2,5436.66,Correct!
256x256,3,2,3,9231.55,Correct!
256x256,3,2,4,8314.54,Correct!
256x256,3,2,5,4612.35,Correct!
256x256,3,2,6,5519.12,Correct!
256x256,3,2,7,6863.63,Correct!
256x256,3,2,8,6243.30,Correct!
256x256,3,2,9,14092.24,Correct!
256x256,3,2,10,5232.02,Correct!
256x256,3,2,11,7674.49,Correct!
256x256,3,2,12,5543.86,Correct!
256x256,3,2,13,5302.57,Correct!
256x256,3,2,14,8068.85,Correct!
256x256,3,2,15,12404.70,Correct!
256x256,3,2,16,12923.98,Correct!
256x256,3,2,17,5424.06,Correct!
256x256,3,2,18,7489.91,Correct!
256x256,3,2,19,5279.67,Correct!
256x256,3,2,20,5231.85,Correct!
256x256,3,2,21,8327.00,Correct!
256x256,3,2,22,5356.80,Correct!
256x256,3,2,23,13328.03,Correct!
256x256,3,2,24,6272.94,Correct!
256x256,3,2,25,5697.76,Correct!
256x256,3,2,26,6467.96,Correct!
256x256,3,2,27,5136.89,Correct!
256x256,3,2,28,6997.13,Correct!
256x256,3,2,29,5204.46,Correct!
256x256,3,2,30,5035.69,Correct!
256x256,3,4,1,4860.35,Correct!
256x256,3,4,2,4447.55,Correct!
256x256,3,4,3,8058.95,Correct!
256x256,3,4,4,5076.81,Correct!
256x256,3,4,5,4971.86,Correct!
256x256,3,4,6,8000.45,Correct!
256x256,3,4,7,7232.63,Correct!
256x256,3,4,8,10198.87,Correct!
256x256,3,4,9,8047.96,Correct!
256x256,3,4,10,8506.35,Correct!
256x256,3,4,11,7717.69,Correct!
256x256,3,4,12,4466.86,Correct!
256x256,3,4,13,9738.70,Correct!
256x256,3,4,14,7776.97,Correct!
256x256,3,4,15,7938.06,Correct!
256x256,3,4,16,7611.92,Correct!
256x256,3,4,17,5515.54,Correct!
256x256,3,4,18,9421.67,Correct!
256x256,3,4,19,10746.33,Correct!
256x256,3,4,20,9600.54,Correct!
256x256,3,4,21,11206.88,Correct!
256x256,3,4,22,7792.17,Correct!
256x256,3,4,23,11147.33,Correct!
256x256,3,4,24,6328.31,Correct!
256x256,3,4,25,10213.23,Correct!
256x256,3,4,26,7542.75,Correct!
256x256,3,4,27,11722.80,Correct!
256x256,3,4,28,8681.59,Correct!
256x256,3,4,29,7464.70,Correct!
256x256,3,4,30,8558.71,Correct!
256x256,3,8,1,7922.73,Correct!
256x256,3,8,2,9988.71,Correct!
256x256,3,8,3,8471.08,Correct!
256x256,3,8,4,8077.20,Correct!
256x256,3,8,5,10305.74,Correct!
256x256,3,8,6,7274.06,Correct!
256x256,3,8,7,9019.24,Correct!
256x256,3,8,8,7463.37,Correct!
256x256,3,8,9,8880.66,Correct!
256x256,3,8,10,7647.66,Correct!
256x256,3,8,11,8604.51,Correct!
256x256,3,8,12,7087.79,Correct!
256x256,3,8,13,9007.32,Correct!
256x256,3,8,14,6844.17,Correct!
256x256,3,8,15,8098.02,Correct!
256x256,3,8,16,7059.82,Correct!
256x256,3,8,17,9980.12,Correct!
256x256,3,8,18,4836.69,Correct!
256x256,3,8,19,7791.31,Correct!
256x256,3,8,20,6483.30,Correct!
256x256,3,8,21,6255.86,Correct!
256x256,3,8,22,6471.02,Correct!
256x256,3,8,23,5837.00,Correct!
256x256,3,8,24,7387.59,Correct!
256x256,3,8,25,6073.35,Correct!
256x256,3,8,26,9949.00,Correct!
256x256,3,8,27,5640.40,Correct!
256x256,3,8,28,5843.24,Correct!
256x256,3,8,29,4922.17,Correct!
256x256,3,8,30,5954.12,Correct!
256x256,3,16,1,7169.56,Correct!
256x256,3,16,2,6180.40,Correct!
256x256,3,16,3,7388.82,Correct!
256x256,3,16,4,5451.79,Correct!
256x256,3,16,5,6019.39,Correct!
256x256,3,16,6,6074.43,Correct!
256x256,3,16,7,5510.89,Correct!
256x256,3,16,8,16257.82,Correct!
256x256,3,16,9,6004.04,Correct!
256x256,3,16,10,7082.73,Correct!
256x256,3,16,11,6159.10,Correct!
256x256,3,16,12,7571.69,Correct!
256x256,3,16,13,6517.53,Correct!
256x256,3,16,14,7284.40,Correct!
256x256,3,16,15,7331.63,Correct!
256x256,3,16,16,7495.63,Correct!
256x256,3,16,17,6372.87,Correct!
256x256,3,16,18,6026.73,Correct!
256x256,3,16,19,5938.22,Correct!
256x256,3,16,20,5105.55,Correct!
256x256,3,16,21,9156.72,Correct!
256x256,3,16,22,6526.22,Correct!
256x256,3,16,23,13438.03,Correct!
256x256,3,16,24,5652.53,Correct!
256x256,3,16,25,10625.94,Correct!
256x256,3,16,26,5372.62,Correct!
256x256,3,16,27,6346.88,Correct!
256x256,3,16,28,5423.47,Correct!
256x256,3,16,29,6326.25,Correct!
256x256,3,16,30,6629.30,Correct!
256x256,3,32,1,5703.96,Correct!
256x256,3,32,2,7083.40,Correct!
256x256,3,32,3,5716.42,Correct!
256x256,3,32,4,13304.94,Correct!
256x256,3,32,5,6308.52,Correct!
256x256,3,32,6,7061.97,Correct!
256x256,3,32,7,6321.06,Correct!
256x256,3,32,8,15641.61,Correct!
256x256,3,32,9,7058.55,Correct!
256x256,3,32,10,6448.59,Correct!
256x256,3,32,11,6580.98,Correct!
256x256,3,32,12,5696.51,Correct!
256x256,3,32,13,8803.50,Correct!
256x256,3,32,14,6690.16,Correct!
256x256,3,32,15,11753.90,Correct!
256x256,3,32,16,5596.65,Correct!
256x256,3,32,17,7183.88,Correct!
256x256,3,32,18,5694.86,Correct!
256x256,3,32,19,9950.16,Correct!
256x256,3,32,20,5683.27,Correct!
256x256,3,32,21,10099.06,Correct!
256x256,3,32,22,7102.22,Correct!
256x256,3,32,23,6361.80,Correct!
256x256,3,32,24,5965.42,Correct!
256x256,3,32,25,7514.06,Correct!
256x256,3,32,26,6083.77,Correct!
256x256,3,32,27,6604.61,Correct!
256x256,3,32,28,8303.93,Correct!
256x256,3,32,29,9629.25,Correct!
256x256,3,32,30,8898.79,Correct!
256x256,5,1,1,,
256x256,5,1,2,,
256x256,5,1,3,,
256x256,5,1,4,,
256x256,5,1,5,,
256x256,5,1,6,,
256x256,5,1,7,,
256x256,5,1,8,,
256x256,5,1,9,,
256x256,5,1,10,,
256x256,5,1,11,,
256x256,5,1,12,,
256x256,5,1,13,,
256x256,5,1,14,,
256x256,5,1,15,,
256x256,5,1,16,,
256x256,5,1,17,,
256x256,5,1,18,,
256x256,5,1,19,,
256x256,5,1,20,,
256x256,5,1,21,,
256x256,5,1,22,,
256x256,5,1,23,,
256x256,5,1,24,,
256x256,5,1,25,,
256x256,5,1,26,,
256x256,5,1,27,,
256x256,5,1,28,,
256x256,5,1,29,,
256x256,5,1,30,,
256x256,5,1,1,10311.88,Correct!
256x256,5,1,2,11119.13,Correct!
256x256,5,1,3,13833.44,Correct!
256x256,5,1,4,19529.61,Correct!
256x256,5,1,5,10166.08,Correct!
256x256,5,1,6,17061.56,Correct!
256x256,5,1,7,12058.98,Correct!
256x256,5,1,8,10608.20,Correct!
256x256,5,1,9,8479.95,Correct!
256x256,5,1,10,12126.39,Correct!
256x256,5,1,11,16658.88,Correct!
256x256,5,1,12,24119.56,Correct!
256x256,5,1,13,10820.12,Correct!
256x256,5,1,14,11634.18,Correct!
256x256,5,1,15,10893.98,Correct!
256x256,5,1,16,10208.28,Correct!
256x256,5,1,17,10181.27,Correct!
256x256,5,1,18,10002.83,Correct!
256x256,5,1,19,10174.52,Correct!
256x256,5,1,20,10290.32,Correct!
256x256,5,1,21,20272.11,Correct!
256x256,5,1,22,12087.75,Correct!
256x256,5,1,23,11194.03,Correct!
256x256,5,1,24,10167.97,Correct!
256x256,5,1,25,10651.68,Correct!
256x256,5,1,26,10112.25,Correct!
256x256,5,1,27,10065.79,Correct!
256x256,5,1,28,10076.15,Correct!
256x256,5,1,29,10032.83,Correct!
256x256,5,1,30,22015.92,Correct!
256x256,5,2,1,9479.77,Correct!
256x256,5,2,2,7977.77,Correct!
256x256,5,2,3,7773.15,Correct!
256x256,5,2,4,9633.75,Correct!
256x256,5,2,5,7810.75,Correct!
256x256,5,2,6,11390.69,Correct!
256x256,5,2,7,9777.41,Correct!
256x256,5,2,8,11302.86,Correct!
256x256,5,2,9,7786.61,Correct!
256x256,5,2,10,8165.89,Correct!
256x256,5,2,11,9793.23,Correct!
256x256,5,2,12,9322.24,Correct!
256x256,5,2,13,11533.92,Correct!
256x256,5,2,14,8248.93,Correct!
256x256,5,2,15,14436.57,Correct!
256x256,5,2,16,9331.70,Correct!
256x256,5,2,17,9358.26,Correct!
256x256,5,2,18,11045.17,Correct!
256x256,5,2,19,11351.16,Correct!
256x256,5,2,20,8001.93,Correct!
256x256,5,2,21,8771.35,Correct!
256x256,5,2,22,12960.77,Correct!
256x256,5,2,23,8541.67,Correct!
256x256,5,2,24,11297.88,Correct!
256x256,5,2,25,8235.84,Correct!
256x256,5,2,26,12273.51,Correct!
256x256,5,2,27,8975.77,Correct!
256x256,5,2,28,8037.31,Correct!
256x256,5,2,29,7811.25,Correct!
256x256,5,2,30,15307.00,Correct!
256x256,5,4,1,4624.75,Correct!
256x256,5,4,2,9626.46,Correct!
256x256,5,4,3,5096.64,Correct!
256x256,5,4,4,5353.22,Correct!
256x256,5,4,5,12894.98,Correct!
256x256,5,4,6,7197.60,Correct!
256x256,5,4,7,11279.37,Correct!
256x256,5,4,8,5867.90,Correct!
256x256,5,4,9,9642.68,Correct!
256x256,5,4,10,5390.10,Correct!
256x256,5,4,11,4973.12,Correct!
256x256,5,4,12,8626.03,Correct!
256x256,5,4,13,6754.56,Correct!
256x256,5,4,14,14843.38,Correct!
256x256,5,4,15,5457.76,Correct!
256x256,5,4,16,11447.93,Correct!
256x256,5,4,17,10681.79,Correct!
256x256,5,4,18,11183.80,Correct!
256x256,5,4,19,10723.40,Correct!
256x256,5,4,20,10876.20,Correct!
256x256,5,4,21,13662.28,Correct!
256x256,5,4,22,10696.59,Correct!
256x256,5,4,23,13136.94,Correct!
256x256,5,4,24,9979.83,Correct!
256x256,5,4,25,11329.83,Correct!
256x256,5,4,26,11439.80,Correct!
256x256,5,4,27,11614.78,Correct!
256x256,5,4,28,12648.49,Correct!
256x256,5,4,29,12383.55,Correct!
256x256,5,4,30,14052.92,Correct!
256x256,5,8,1,9339.34,Correct!
256x256,5,8,2,7937.59,Correct!
256x256,5,8,3,10139.00,Correct!
256x256,5,8,4,8640.71,Correct!
256x256,5,8,5,8812.74,Correct!
256x256,5,8,6,9424.86,Correct!
256x256,5,8,7,7511.98,Correct!
256x256,5,8,8,8637.80,Correct!
256x256,5,8,9,7902.16,Correct!
256x256,5,8,10,6820.53,Correct!
256x256,5,8,11,7668.86,Correct!
256x256,5,8,12,10054.02,Correct!
256x256,5,8,13,6506.45,Correct!
256x256,5,8,14,9593.07,Correct!
256x256,5,8,15,6782.14,Correct!
256x256,5,8,16,6045.78,Correct!
256x256,5,8,17,6277.12,Correct!
256x256,5,8,18,6267.00,Correct!
256x256,5,8,19,18437.54,Correct!
256x256,5,8,20,6207.66,Correct!
256x256,5,8,21,8624.19,Correct!
256x256,5,8,22,6997.87,Correct!
256x256,5,8,23,7660.73,Correct!
256x256,5,8,24,6758.53,Correct!
256x256,5,8,25,6165.83,Correct!
256x256,5,8,26,14022.00,Correct!
256x256,5,8,27,6301.83,Correct!
256x256,5,8,28,10053.22,Correct!
256x256,5,8,29,4931.92,Correct!
256x256,5,8,30,7936.63,Correct!
256x256,5,16,1,6255.00,Correct!
256x256,5,16,2,7672.65,Correct!
256x256,5,16,3,6916.01,Correct!
256x256,5,16,4,5647.02,Correct!
256x256,5,16,5,6618.36,Correct!
256x256,5,16,6,6490.36,Correct!
256x256,5,16,7,14000.61,Correct!
256x256,5,16,8,5556.76,Correct!
256x256,5,16,9,8363.82,Correct!
256x256,5,16,10,5569.17,Correct!
