Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Microseconds),Correctness
256x256,3,1,1,8446.55,Correct!
256x256,3,1,2,6408.99,Correct!
256x256,3,1,3,6926.86,Correct!
256x256,3,1,4,7554.72,Correct!
256x256,3,1,5,7540.01,Correct!
256x256,3,1,6,7696.60,Correct!
256x256,3,1,7,6775.83,Correct!
256x256,3,1,8,7556.78,Correct!
256x256,3,1,9,8033.16,Correct!
256x256,3,1,10,6885.09,Correct!
256x256,3,1,11,7533.68,Correct!
256x256,3,1,12,6925.08,Correct!
256x256,3,1,13,7292.48,Correct!
256x256,3,1,14,6959.83,Correct!
256x256,3,1,15,6925.20,Correct!
256x256,3,1,16,7250.17,Correct!
256x256,3,1,17,7533.35,Correct!
256x256,3,1,18,7493.46,Correct!
256x256,3,1,19,7001.84,Correct!
256x256,3,1,20,7641.09,Correct!
256x256,3,2,1,5053.39,Correct!
256x256,3,2,2,5240.38,Correct!
256x256,3,2,3,5005.26,Correct!
256x256,3,2,4,4997.25,Correct!
256x256,3,2,5,3874.02,Correct!
256x256,3,2,6,4993.06,Correct!
256x256,3,2,7,5339.94,Correct!
256x256,3,2,8,5257.94,Correct!
256x256,3,2,9,4690.09,Correct!
256x256,3,2,10,4940.76,Correct!
256x256,3,2,11,5317.01,Correct!
256x256,3,2,12,4987.20,Correct!
256x256,3,2,13,4962.72,Correct!
256x256,3,2,14,5283.58,Correct!
256x256,3,2,15,4923.53,Correct!
256x256,3,2,16,4973.76,Correct!
256x256,3,2,17,4913.49,Correct!
256x256,3,2,18,5414.84,Correct!
256x256,3,2,19,4781.18,Correct!
256x256,3,2,20,4347.90,Correct!
256x256,3,4,1,3957.81,Correct!
256x256,3,4,2,1458.58,Correct!
256x256,3,4,3,2671.97,Correct!
256x256,3,4,4,2975.33,Correct!
256x256,3,4,5,3193.23,Correct!
256x256,3,4,6,3237.94,Correct!
256x256,3,4,7,3305.88,Correct!
256x256,3,4,8,3058.97,Correct!
256x256,3,4,9,3467.89,Correct!
256x256,3,4,10,3840.63,Correct!
256x256,3,4,11,2714.28,Correct!
256x256,3,4,12,3130.51,Correct!
256x256,3,4,13,3502.97,Correct!
256x256,3,4,14,2677.61,Correct!
256x256,3,4,15,3393.15,Correct!
256x256,3,4,16,2254.38,Correct!
256x256,3,4,17,3576.02,Correct!
256x256,3,4,18,3551.00,Correct!
256x256,3,4,19,3808.05,Correct!
256x256,3,4,20,2505.88,Correct!
256x256,3,8,1,3016.14,Correct!
256x256,3,8,2,2364.60,Correct!
256x256,3,8,3,3112.90,Correct!
256x256,3,8,4,2578.27,Correct!
256x256,3,8,5,3102.13,Correct!
256x256,3,8,6,2672.17,Correct!
256x256,3,8,7,2286.36,Correct!
256x256,3,8,8,2488.02,Correct!
256x256,3,8,9,2224.30,Correct!
256x256,3,8,10,2982.55,Correct!
256x256,3,8,11,2513.37,Correct!
256x256,3,8,12,3043.38,Correct!
256x256,3,8,13,2381.07,Correct!
256x256,3,8,14,3037.56,Correct!
256x256,3,8,15,2482.14,Correct!
256x256,3,8,16,2570.61,Correct!
256x256,3,8,17,2426.89,Correct!
256x256,3,8,18,2472.07,Correct!
256x256,3,8,19,2678.95,Correct!
256x256,3,8,20,2776.14,Correct!
256x256,3,16,1,2789.03,Correct!
256x256,3,16,2,2557.39,Correct!
256x256,3,16,3,2450.54,Correct!
256x256,3,16,4,2428.31,Correct!
256x256,3,16,5,2697.75,Correct!
256x256,3,16,6,2772.20,Correct!
256x256,3,16,7,3094.36,Correct!
256x256,3,16,8,2902.38,Correct!
256x256,3,16,9,2399.90,Correct!
256x256,3,16,10,2447.49,Correct!
256x256,3,16,11,2461.72,Correct!
256x256,3,16,12,2840.64,Correct!
256x256,3,16,13,2400.29,Correct!
256x256,3,16,14,2379.07,Correct!
256x256,3,16,15,2423.88,Correct!
256x256,3,16,16,2534.64,Correct!
256x256,3,16,17,2285.91,Correct!
256x256,3,16,18,2496.82,Correct!
256x256,3,16,19,2272.25,Correct!
256x256,3,16,20,2621.78,Correct!
256x256,3,32,1,3593.33,Correct!
256x256,3,32,2,3107.16,Correct!
256x256,3,32,3,3388.49,Correct!
256x256,3,32,4,3540.66,Correct!
256x256,3,32,5,3816.43,Correct!
256x256,3,32,6,2903.22,Correct!
256x256,3,32,7,3533.49,Correct!
256x256,3,32,8,3074.69,Correct!
256x256,3,32,9,3733.99,Correct!
256x256,3,32,10,2854.74,Correct!
256x256,3,32,11,2930.14,Correct!
256x256,3,32,12,2906.66,Correct!
256x256,3,32,13,3589.75,Correct!
256x256,3,32,14,2972.76,Correct!
256x256,3,32,15,2768.21,Correct!
256x256,3,32,16,2634.24,Correct!
256x256,3,32,17,3499.24,Correct!
256x256,3,32,18,2926.82,Correct!
256x256,3,32,19,3141.72,Correct!
256x256,3,32,20,3523.23,Correct!
256x256,5,1,1,14847.29,Correct!
256x256,5,1,2,14816.62,Correct!
256x256,5,1,3,14704.62,Correct!
256x256,5,1,4,14311.59,Correct!
256x256,5,1,5,14879.40,Correct!
256x256,5,1,6,14610.59,Correct!
256x256,5,1,7,14568.22,Correct!
256x256,5,1,8,14901.43,Correct!
256x256,5,1,9,14751.62,Correct!
256x256,5,1,10,14505.36,Correct!
256x256,5,1,11,14461.63,Correct!
256x256,5,1,12,16336.07,Correct!
256x256,5,1,13,15561.41,Correct!
256x256,5,1,14,16198.66,Correct!
256x256,5,1,15,15313.00,Correct!
256x256,5,1,16,15718.51,Correct!
256x256,5,1,17,15083.93,Correct!
256x256,5,1,18,14466.01,Correct!
256x256,5,1,19,14664.26,Correct!
256x256,5,1,20,14901.21,Correct!
256x256,5,2,1,10068.69,Correct!
256x256,5,2,2,12704.84,Correct!
256x256,5,2,3,11030.22,Correct!
256x256,5,2,4,8400.20,Correct!
256x256,5,2,5,11151.52,Correct!
256x256,5,2,6,6602.78,Correct!
256x256,5,2,7,6888.04,Correct!
256x256,5,2,8,9959.38,Correct!
256x256,5,2,9,11748.86,Correct!
256x256,5,2,10,9728.89,Correct!
256x256,5,2,11,10380.05,Correct!
256x256,5,2,12,10356.08,Correct!
256x256,5,2,13,10129.56,Correct!
256x256,5,2,14,10941.97,Correct!
256x256,5,2,15,6853.88,Correct!
256x256,5,2,16,10338.28,Correct!
256x256,5,2,17,10347.32,Correct!
256x256,5,2,18,10363.86,Correct!
256x256,5,2,19,10461.12,Correct!
256x256,5,2,20,10721.52,Correct!
256x256,5,4,1,6645.55,Correct!
256x256,5,4,2,6528.78,Correct!
256x256,5,4,3,6891.90,Correct!
256x256,5,4,4,6882.88,Correct!
256x256,5,4,5,6845.77,Correct!
256x256,5,4,6,6974.41,Correct!
256x256,5,4,7,6840.51,Correct!
256x256,5,4,8,6417.08,Correct!
256x256,5,4,9,6444.09,Correct!
256x256,5,4,10,6665.37,Correct!
256x256,5,4,11,6567.47,Correct!
256x256,5,4,12,6962.51,Correct!
256x256,5,4,13,6694.30,Correct!
256x256,5,4,14,6601.32,Correct!
256x256,5,4,15,6753.84,Correct!
256x256,5,4,16,6512.49,Correct!
256x256,5,4,17,6546.88,Correct!
256x256,5,4,18,6762.01,Correct!
256x256,5,4,19,6844.18,Correct!
256x256,5,4,20,6535.82,Correct!
256x256,5,8,1,4710.05,Correct!
256x256,5,8,2,4191.29,Correct!
256x256,5,8,3,4668.54,Correct!
256x256,5,8,4,4799.62,Correct!
256x256,5,8,5,4279.75,Correct!
256x256,5,8,6,4215.79,Correct!
256x256,5,8,7,4573.02,Correct!
256x256,5,8,8,3510.57,Correct!
256x256,5,8,9,3863.89,Correct!
256x256,5,8,10,4293.97,Correct!
256x256,5,8,11,3825.17,Correct!
256x256,5,8,12,4504.83,Correct!
256x256,5,8,13,3167.40,Correct!
