Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Microseconds),Correctness
256x256,3,1,1,4073.54,Correct!
256x256,3,1,2,6967.98,Correct!
256x256,3,1,3,7144.83,Correct!
256x256,3,1,4,3724.40,Correct!
256x256,3,1,5,7398.05,Correct!
256x256,3,1,6,7004.83,Correct!
256x256,3,1,7,7529.73,Correct!
256x256,3,1,8,3663.59,Correct!
256x256,3,1,9,3667.12,Correct!
256x256,3,1,10,3621.64,Correct!
256x256,3,1,11,4983.54,Correct!
256x256,3,1,12,8507.21,Correct!
256x256,3,1,13,4162.10,Correct!
256x256,3,1,14,5886.15,Correct!
256x256,3,1,15,5002.09,Correct!
256x256,3,1,16,7152.20,Correct!
256x256,3,1,17,5115.25,Correct!
256x256,3,1,18,5444.74,Correct!
256x256,3,1,19,3775.36,Correct!
256x256,3,1,20,6739.01,Correct!
256x256,3,2,1,2278.82,Correct!
256x256,3,2,2,3058.57,Correct!
256x256,3,2,3,3891.81,Correct!
256x256,3,2,4,2859.99,Correct!
256x256,3,2,5,2958.36,Correct!
256x256,3,2,6,2245.27,Correct!
256x256,3,2,7,2571.91,Correct!
256x256,3,2,8,2843.48,Correct!
256x256,3,2,9,2519.91,Correct!
256x256,3,2,10,2926.80,Correct!
256x256,3,2,11,3124.18,Correct!
256x256,3,2,12,4604.13,Correct!
256x256,3,2,13,7002.87,Correct!
256x256,3,2,14,3910.13,Correct!
256x256,3,2,15,4869.45,Correct!
256x256,3,2,16,4903.74,Correct!
256x256,3,2,17,4496.14,Correct!
256x256,3,2,18,4229.99,Correct!
256x256,3,2,19,4585.14,Correct!
256x256,3,2,20,6396.88,Correct!
256x256,3,4,1,2151.66,Correct!
256x256,3,4,2,2189.10,Correct!
256x256,3,4,3,1638.95,Correct!
256x256,3,4,4,2912.64,Correct!
256x256,3,4,5,1578.18,Correct!
256x256,3,4,6,2742.82,Correct!
256x256,3,4,7,3130.68,Correct!
256x256,3,4,8,1338.22,Correct!
256x256,3,4,9,2366.74,Correct!
256x256,3,4,10,1699.17,Correct!
256x256,3,4,11,2941.10,Correct!
256x256,3,4,12,3562.27,Correct!
256x256,3,4,13,2322.55,Correct!
256x256,3,4,14,1475.54,Correct!
256x256,3,4,15,2350.11,Correct!
256x256,3,4,16,3835.63,Correct!
256x256,3,4,17,2255.37,Correct!
256x256,3,4,18,3937.39,Correct!
256x256,3,4,19,2428.79,Correct!
256x256,3,4,20,2906.79,Correct!
256x256,3,8,1,1279.69,Correct!
256x256,3,8,2,1349.01,Correct!
256x256,3,8,3,2537.37,Correct!
256x256,3,8,4,1708.63,Correct!
256x256,3,8,5,13392.83,Correct!
256x256,3,8,6,1349.65,Correct!
256x256,3,8,7,1209.76,Correct!
256x256,3,8,8,5684.12,Correct!
256x256,3,8,9,2481.23,Correct!
256x256,3,8,10,1257.45,Correct!
256x256,3,8,11,1409.16,Correct!
256x256,3,8,12,6248.03,Correct!
256x256,3,8,13,1685.83,Correct!
256x256,3,8,14,13332.92,Correct!
256x256,3,8,15,1504.32,Correct!
256x256,3,8,16,15165.90,Correct!
256x256,3,8,17,1316.75,Correct!
256x256,3,8,18,1450.74,Correct!
256x256,3,8,19,11440.85,Correct!
256x256,3,8,20,2010.04,Correct!
256x256,3,16,1,6717.18,Correct!
256x256,3,16,2,1865.03,Correct!
256x256,3,16,3,9746.77,Correct!
256x256,3,16,4,1324.53,Correct!
256x256,3,16,5,1840.75,Correct!
256x256,3,16,6,2719.80,Correct!
256x256,3,16,7,2224.92,Correct!
256x256,3,16,8,1756.61,Correct!
256x256,3,16,9,1366.19,Correct!
256x256,3,16,10,1459.72,Correct!
256x256,3,16,11,1717.01,Correct!
256x256,3,16,12,2033.53,Correct!
256x256,3,16,13,2594.76,Correct!
256x256,3,16,14,1645.21,Correct!
256x256,3,16,15,2434.37,Correct!
256x256,3,16,16,2811.82,Correct!
256x256,3,16,17,1418.13,Correct!
256x256,3,16,18,1791.14,Correct!
256x256,3,16,19,1314.57,Correct!
256x256,3,16,20,2434.28,Correct!
256x256,3,32,1,3702.83,Correct!
256x256,3,32,2,3739.46,Correct!
256x256,3,32,3,13358.04,Correct!
256x256,3,32,4,2467.56,Correct!
256x256,3,32,5,1914.32,Correct!
256x256,3,32,6,3429.53,Correct!
256x256,3,32,7,15364.51,Correct!
256x256,3,32,8,2213.24,Correct!
256x256,3,32,9,16623.68,Correct!
256x256,3,32,10,12234.28,Correct!
256x256,3,32,11,1698.24,Correct!
256x256,3,32,12,1809.95,Correct!
256x256,3,32,13,2337.45,Correct!
256x256,3,32,14,2982.72,Correct!
256x256,3,32,15,5051.88,Correct!
256x256,3,32,16,1736.11,Correct!
256x256,3,32,17,19042.83,Correct!
256x256,3,32,18,2462.77,Correct!
256x256,3,32,19,14052.16,Correct!
256x256,3,32,20,2983.89,Correct!
256x256,5,1,1,9819.77,Correct!
256x256,5,1,2,12533.16,Correct!
256x256,5,1,3,9777.17,Correct!
256x256,5,1,4,10589.25,Correct!
256x256,5,1,5,12250.35,Correct!
256x256,5,1,6,8447.96,Correct!
256x256,5,1,7,8413.11,Correct!
256x256,5,1,8,11637.12,Correct!
256x256,5,1,9,8438.83,Correct!
256x256,5,1,10,8429.20,Correct!
256x256,5,1,11,18828.38,Correct!
256x256,5,1,12,8502.28,Correct!
256x256,5,1,13,20109.08,Correct!
256x256,5,1,14,9816.35,Correct!
256x256,5,1,15,11958.70,Correct!
256x256,5,1,16,8436.42,Correct!
256x256,5,1,17,18167.65,Correct!
256x256,5,1,18,13405.29,Correct!
256x256,5,1,19,11159.45,Correct!
256x256,5,1,20,11093.65,Correct!
256x256,5,2,1,9904.11,Correct!
256x256,5,2,2,9293.33,Correct!
256x256,5,2,3,7317.75,Correct!
256x256,5,2,4,9425.22,Correct!
256x256,5,2,5,9855.67,Correct!
256x256,5,2,6,9492.86,Correct!
256x256,5,2,7,12815.05,Correct!
256x256,5,2,8,6082.83,Correct!
256x256,5,2,9,9816.56,Correct!
256x256,5,2,10,7397.54,Correct!
256x256,5,2,11,15303.84,Correct!
256x256,5,2,12,5928.01,Correct!
256x256,5,2,13,9670.33,Correct!
256x256,5,2,14,13049.29,Correct!
256x256,5,2,15,4737.72,Correct!
256x256,5,2,16,6015.06,Correct!
256x256,5,2,17,7232.22,Correct!
256x256,5,2,18,5779.24,Correct!
256x256,5,2,19,6850.78,Correct!
256x256,5,2,20,8845.55,Correct!
256x256,5,4,1,4437.90,Correct!
256x256,5,4,2,7138.75,Correct!
256x256,5,4,3,4969.81,Correct!
256x256,5,4,4,5132.51,Correct!
256x256,5,4,5,5598.03,Correct!
256x256,5,4,6,3516.15,Correct!
256x256,5,4,7,4082.58,Correct!
256x256,5,4,8,9028.59,Correct!
256x256,5,4,9,3291.48,Correct!
256x256,5,4,10,4933.54,Correct!
256x256,5,4,11,2967.61,Correct!
256x256,5,4,12,4868.71,Correct!
256x256,5,4,13,3221.49,Correct!
256x256,5,4,14,4475.60,Correct!
256x256,5,4,15,7625.60,Correct!
256x256,5,4,16,3604.92,Correct!
256x256,5,4,17,4987.26,Correct!
256x256,5,4,18,3756.30,Correct!
256x256,5,4,19,4477.09,Correct!
256x256,5,4,20,5315.65,Correct!
256x256,5,8,1,3037.30,Correct!
256x256,5,8,2,2899.12,Correct!
256x256,5,8,3,2215.01,Correct!
256x256,5,8,4,4901.76,Correct!
256x256,5,8,5,1998.40,Correct!
256x256,5,8,6,2370.50,Correct!
256x256,5,8,7,2360.40,Correct!
256x256,5,8,8,2359.24,Correct!
256x256,5,8,9,3921.54,Correct!
256x256,5,8,10,2435.51,Correct!
256x256,5,8,11,3389.79,Correct!
256x256,5,8,12,2633.06,Correct!
256x256,5,8,13,3315.21,Correct!
256x256,5,8,14,4099.41,Correct!
256x256,5,8,15,2031.92,Correct!
256x256,5,8,16,1977.08,Correct!
256x256,5,8,17,3615.03,Correct!
256x256,5,8,18,3332.66,Correct!
256x256,5,8,19,5092.99,Correct!
256x256,5,8,20,3273.90,Correct!
256x256,5,16,1,3321.18,Correct!
256x256,5,16,2,2257.99,Correct!
256x256,5,16,3,1969.73,Correct!
256x256,5,16,4,1465.28,Correct!
256x256,5,16,5,3219.83,Correct!
256x256,5,16,6,1623.89,Correct!
256x256,5,16,7,2608.90,Correct!
256x256,5,16,8,1623.76,Correct!
256x256,5,16,9,1628.90,Correct!
256x256,5,16,10,2432.26,Correct!
256x256,5,16,11,2321.28,Correct!
256x256,5,16,12,1853.76,Correct!
256x256,5,16,13,1568.59,Correct!
256x256,5,16,14,1604.47,Correct!
256x256,5,16,15,3089.02,Correct!
256x256,5,16,16,1592.00,Correct!
256x256,5,16,17,1896.54,Correct!
256x256,5,16,18,1941.26,Correct!
256x256,5,16,19,2283.32,Correct!
256x256,5,16,20,1909.76,Correct!
256x256,5,32,1,1707.50,Correct!
256x256,5,32,2,1945.15,Correct!
256x256,5,32,3,3739.23,Correct!
256x256,5,32,4,3499.98,Correct!
256x256,5,32,5,3861.53,Correct!
256x256,5,32,6,1897.88,Correct!
256x256,5,32,7,15376.08,Correct!
256x256,5,32,8,2751.41,Correct!
256x256,5,32,9,18837.31,Correct!
256x256,5,32,10,2770.72,Correct!
256x256,5,32,11,5915.86,Correct!
256x256,5,32,12,2033.12,Correct!
256x256,5,32,13,22404.92,Correct!
256x256,5,32,14,2710.79,Correct!
256x256,5,32,15,19101.11,Correct!
256x256,5,32,16,2158.20,Correct!
256x256,5,32,17,21015.03,Correct!
256x256,5,32,18,1959.45,Correct!
256x256,5,32,19,2258.27,Correct!
256x256,5,32,20,1977.50,Correct!
256x256,7,1,1,18849.24,Correct!
256x256,7,1,2,28938.92,Correct!
256x256,7,1,3,21494.58,Correct!
256x256,7,1,4,24013.10,Correct!
256x256,7,1,5,20494.96,Correct!
256x256,7,1,6,19470.38,Correct!
256x256,7,1,7,21714.26,Correct!
256x256,7,1,8,15780.83,Correct!
256x256,7,1,9,23907.90,Correct!
256x256,7,1,10,21942.53,Correct!
256x256,7,1,11,20488.41,Correct!
256x256,7,1,12,17760.14,Correct!
256x256,7,1,13,16294.44,Correct!
256x256,7,1,14,26611.42,Correct!
256x256,7,1,15,15466.62,Correct!
256x256,7,1,16,33201.68,Correct!
256x256,7,1,17,15427.20,Correct!
256x256,7,1,18,21813.57,Correct!
256x256,7,1,19,26210.81,Correct!
256x256,7,1,20,16466.60,Correct!
256x256,7,2,1,17278.57,Correct!
256x256,7,2,2,9052.52,Correct!
256x256,7,2,3,13726.88,Correct!
256x256,7,2,4,8767.02,Correct!
256x256,7,2,5,15797.85,Correct!
256x256,7,2,6,9542.38,Correct!
256x256,7,2,7,16305.59,Correct!
256x256,7,2,8,8009.76,Correct!
256x256,7,2,9,9065.68,Correct!
256x256,7,2,10,11182.92,Correct!
256x256,7,2,11,20706.63,Correct!
256x256,7,2,12,8450.84,Correct!
256x256,7,2,13,8010.23,Correct!
256x256,7,2,14,13204.05,Correct!
256x256,7,2,15,26924.26,Correct!
256x256,7,2,16,14837.51,Correct!
256x256,7,2,17,8894.48,Correct!
256x256,7,2,18,8256.92,Correct!
256x256,7,2,19,12890.75,Correct!
256x256,7,2,20,18696.14,Correct!
256x256,7,4,1,8593.60,Correct!
