Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Microseconds),Correctness
256x256,3,1,1,,
256x256,3,1,2,,
256x256,3,1,3,,
256x256,3,1,4,,
256x256,3,1,5,,
256x256,3,1,6,,
256x256,3,1,7,,
256x256,3,1,8,,
256x256,3,1,9,,
256x256,3,1,10,,
256x256,3,1,11,,
256x256,3,1,12,,
256x256,3,1,13,,
256x256,3,1,14,,
256x256,3,1,15,,
256x256,3,1,16,,
256x256,3,1,17,,
256x256,3,1,18,,
256x256,3,1,19,,
256x256,3,1,20,,
256x256,3,1,21,,
256x256,3,1,22,,
256x256,3,1,23,,
256x256,3,1,24,,
256x256,3,1,25,,
256x256,3,1,26,,
256x256,3,1,27,,
256x256,3,1,28,,
256x256,3,1,29,,
256x256,3,1,30,,
256x256,3,1,1,7118.76,Correct!
256x256,3,1,2,7593.39,Correct!
256x256,3,1,3,5368.81,Correct!
256x256,3,1,4,7559.79,Correct!
256x256,3,1,5,5324.93,Correct!
256x256,3,1,6,7561.48,Correct!
256x256,3,1,7,4618.45,Correct!
256x256,3,1,8,5909.94,Correct!
256x256,3,1,9,7542.71,Correct!
256x256,3,1,10,7546.46,Correct!
256x256,3,1,11,4668.11,Correct!
256x256,3,1,12,8278.72,Correct!
256x256,3,1,13,4180.54,Correct!
256x256,3,1,14,7312.56,Correct!
256x256,3,1,15,3988.65,Correct!
256x256,3,1,16,7512.80,Correct!
256x256,3,1,17,6950.37,Correct!
256x256,3,1,18,7443.09,Correct!
256x256,3,1,19,6907.64,Correct!
256x256,3,1,20,7617.96,Correct!
256x256,3,1,21,7749.84,Correct!
256x256,3,1,22,7310.64,Correct!
256x256,3,1,23,7617.32,Correct!
256x256,3,1,24,6845.94,Correct!
256x256,3,1,25,8051.84,Correct!
256x256,3,1,26,7604.16,Correct!
256x256,3,1,27,7497.04,Correct!
256x256,3,1,28,7553.71,Correct!
256x256,3,1,29,7877.71,Correct!
256x256,3,1,30,7587.42,Correct!
256x256,3,2,1,5708.45,Correct!
256x256,3,2,2,5265.73,Correct!
256x256,3,2,3,4752.78,Correct!
256x256,3,2,4,5223.66,Correct!
256x256,3,2,5,4995.78,Correct!
256x256,3,2,6,4938.66,Correct!
256x256,3,2,7,4870.23,Correct!
256x256,3,2,8,4928.57,Correct!
256x256,3,2,9,4924.67,Correct!
256x256,3,2,10,5425.86,Correct!
256x256,3,2,11,5241.02,Correct!
256x256,3,2,12,4865.76,Correct!
256x256,3,2,13,5205.48,Correct!
256x256,3,2,14,2675.11,Correct!
256x256,3,2,15,5578.59,Correct!
256x256,3,2,16,4196.72,Correct!
256x256,3,2,17,5053.39,Correct!
256x256,3,2,18,4961.05,Correct!
256x256,3,2,19,5169.96,Correct!
256x256,3,2,20,5943.28,Correct!
256x256,3,2,21,5003.08,Correct!
256x256,3,2,22,4858.36,Correct!
256x256,3,2,23,5211.14,Correct!
256x256,3,2,24,4666.45,Correct!
256x256,3,2,25,4363.02,Correct!
256x256,3,2,26,4878.80,Correct!
256x256,3,2,27,4864.53,Correct!
256x256,3,2,28,5292.88,Correct!
256x256,3,2,29,4881.88,Correct!
256x256,3,2,30,2490.23,Correct!
256x256,3,4,1,2021.24,Correct!
256x256,3,4,2,3332.78,Correct!
256x256,3,4,3,2937.38,Correct!
256x256,3,4,4,3776.57,Correct!
256x256,3,4,5,1674.71,Correct!
256x256,3,4,6,3445.44,Correct!
256x256,3,4,7,1667.39,Correct!
256x256,3,4,8,3639.45,Correct!
256x256,3,4,9,3332.19,Correct!
256x256,3,4,10,3721.71,Correct!
256x256,3,4,11,1725.68,Correct!
256x256,3,4,12,2161.41,Correct!
256x256,3,4,13,3485.59,Correct!
256x256,3,4,14,2681.37,Correct!
256x256,3,4,15,3322.99,Correct!
256x256,3,4,16,1792.20,Correct!
256x256,3,4,17,3377.96,Correct!
256x256,3,4,18,2027.61,Correct!
256x256,3,4,19,2442.10,Correct!
256x256,3,4,20,3864.26,Correct!
256x256,3,4,21,2310.45,Correct!
256x256,3,4,22,3359.40,Correct!
256x256,3,4,23,1718.45,Correct!
256x256,3,4,24,3675.96,Correct!
256x256,3,4,25,2038.18,Correct!
256x256,3,4,26,2334.86,Correct!
256x256,3,4,27,2770.59,Correct!
256x256,3,4,28,2512.64,Correct!
256x256,3,4,29,3634.03,Correct!
256x256,3,4,30,1755.89,Correct!
256x256,3,8,1,2469.82,Correct!
256x256,3,8,2,1911.92,Correct!
256x256,3,8,3,1623.07,Correct!
256x256,3,8,4,2451.44,Correct!
256x256,3,8,5,2456.28,Correct!
256x256,3,8,6,2608.00,Correct!
256x256,3,8,7,2864.84,Correct!
256x256,3,8,8,2225.51,Correct!
256x256,3,8,9,2581.68,Correct!
256x256,3,8,10,1697.79,Correct!
256x256,3,8,11,3070.11,Correct!
256x256,3,8,12,1395.35,Correct!
256x256,3,8,13,3205.37,Correct!
256x256,3,8,14,2395.53,Correct!
256x256,3,8,15,3048.23,Correct!
256x256,3,8,16,1299.58,Correct!
256x256,3,8,17,3007.87,Correct!
256x256,3,8,18,1885.01,Correct!
256x256,3,8,19,3043.13,Correct!
256x256,3,8,20,2281.05,Correct!
256x256,3,8,21,2619.27,Correct!
256x256,3,8,22,1473.34,Correct!
256x256,3,8,23,2311.35,Correct!
256x256,3,8,24,3057.37,Correct!
256x256,3,8,25,3008.80,Correct!
256x256,3,8,26,2324.22,Correct!
256x256,3,8,27,2539.76,Correct!
256x256,3,8,28,2584.35,Correct!
256x256,3,8,29,2696.14,Correct!
256x256,3,8,30,2658.66,Correct!
256x256,3,16,1,2860.55,Correct!
256x256,3,16,2,2596.40,Correct!
256x256,3,16,3,2527.44,Correct!
256x256,3,16,4,2523.09,Correct!
256x256,3,16,5,2698.13,Correct!
256x256,3,16,6,2662.41,Correct!
256x256,3,16,7,2373.13,Correct!
256x256,3,16,8,2639.04,Correct!
256x256,3,16,9,2720.98,Correct!
256x256,3,16,10,2709.02,Correct!
256x256,3,16,11,2520.41,Correct!
256x256,3,16,12,2551.13,Correct!
256x256,3,16,13,2786.81,Correct!
256x256,3,16,14,2098.16,Correct!
256x256,3,16,15,2844.25,Correct!
256x256,3,16,16,2395.32,Correct!
256x256,3,16,17,2272.24,Correct!
256x256,3,16,18,2211.19,Correct!
256x256,3,16,19,2417.49,Correct!
256x256,3,16,20,1505.34,Correct!
256x256,3,16,21,3786.19,Correct!
256x256,3,16,22,2163.91,Correct!
256x256,3,16,23,2774.55,Correct!
256x256,3,16,24,1684.88,Correct!
256x256,3,16,25,3019.61,Correct!
256x256,3,16,26,2288.50,Correct!
256x256,3,16,27,2671.49,Correct!
256x256,3,16,28,1811.86,Correct!
256x256,3,16,29,2714.14,Correct!
256x256,3,16,30,2113.52,Correct!
256x256,3,32,1,3196.75,Correct!
256x256,3,32,2,2965.93,Correct!
256x256,3,32,3,3355.24,Correct!
256x256,3,32,4,1952.27,Correct!
256x256,3,32,5,1961.78,Correct!
256x256,3,32,6,3074.80,Correct!
256x256,3,32,7,3983.67,Correct!
256x256,3,32,8,2870.34,Correct!
256x256,3,32,9,4037.35,Correct!
256x256,3,32,10,3489.75,Correct!
256x256,3,32,11,3118.26,Correct!
256x256,3,32,12,2857.35,Correct!
256x256,3,32,13,3337.24,Correct!
256x256,3,32,14,2033.83,Correct!
256x256,3,32,15,2774.90,Correct!
256x256,3,32,16,2931.63,Correct!
256x256,3,32,17,4442.75,Correct!
256x256,3,32,18,2905.21,Correct!
256x256,3,32,19,4139.41,Correct!
256x256,3,32,20,3540.06,Correct!
256x256,3,32,21,3805.07,Correct!
256x256,3,32,22,2361.96,Correct!
256x256,3,32,23,3739.32,Correct!
256x256,3,32,24,2781.81,Correct!
256x256,3,32,25,4130.80,Correct!
256x256,3,32,26,1954.09,Correct!
256x256,3,32,27,1860.68,Correct!
256x256,3,32,28,3606.96,Correct!
256x256,3,32,29,2796.70,Correct!
256x256,3,32,30,3216.56,Correct!
256x256,5,1,1,,
256x256,5,1,2,,
256x256,5,1,3,,
256x256,5,1,4,,
256x256,5,1,5,,
256x256,5,1,6,,
256x256,5,1,7,,
256x256,5,1,8,,
256x256,5,1,9,,
256x256,5,1,10,,
256x256,5,1,11,,
256x256,5,1,12,,
256x256,5,1,13,,
256x256,5,1,14,,
256x256,5,1,15,,
256x256,5,1,16,,
256x256,5,1,17,,
256x256,5,1,18,,
256x256,5,1,19,,
256x256,5,1,20,,
256x256,5,1,21,,
256x256,5,1,22,,
256x256,5,1,23,,
256x256,5,1,24,,
256x256,5,1,25,,
256x256,5,1,26,,
256x256,5,1,27,,
256x256,5,1,28,,
256x256,5,1,29,,
256x256,5,1,30,,
256x256,5,1,1,15677.76,Correct!
256x256,5,1,2,16056.74,Correct!
256x256,5,1,3,15556.12,Correct!
256x256,5,1,4,14630.08,Correct!
256x256,5,1,5,15679.27,Correct!
256x256,5,1,6,15679.32,Correct!
256x256,5,1,7,14585.90,Correct!
256x256,5,1,8,14970.31,Correct!
256x256,5,1,9,14814.31,Correct!
256x256,5,1,10,14529.90,Correct!
256x256,5,1,11,15724.57,Correct!
256x256,5,1,12,15085.69,Correct!
256x256,5,1,13,15661.83,Correct!
256x256,5,1,14,10757.07,Correct!
256x256,5,1,15,15990.90,Correct!
256x256,5,1,16,11304.01,Correct!
256x256,5,1,17,14869.39,Correct!
256x256,5,1,18,14267.32,Correct!
256x256,5,1,19,14925.92,Correct!
256x256,5,1,20,15244.12,Correct!
256x256,5,1,21,14719.81,Correct!
256x256,5,1,22,14466.21,Correct!
256x256,5,1,23,14953.10,Correct!
256x256,5,1,24,14414.91,Correct!
256x256,5,1,25,14932.23,Correct!
256x256,5,1,26,13248.33,Correct!
256x256,5,1,27,14919.28,Correct!
256x256,5,1,28,13853.61,Correct!
256x256,5,1,29,13837.84,Correct!
256x256,5,1,30,15836.60,Correct!
256x256,5,2,1,10601.21,Correct!
256x256,5,2,2,11058.18,Correct!
256x256,5,2,3,10550.85,Correct!
256x256,5,2,4,10440.17,Correct!
256x256,5,2,5,10341.88,Correct!
256x256,5,2,6,10385.92,Correct!
256x256,5,2,7,10693.53,Correct!
256x256,5,2,8,10031.90,Correct!
256x256,5,2,9,10418.97,Correct!
256x256,5,2,10,10751.28,Correct!
256x256,5,2,11,12823.42,Correct!
256x256,5,2,12,10485.35,Correct!
256x256,5,2,13,9373.54,Correct!
256x256,5,2,14,10178.81,Correct!
256x256,5,2,15,10165.73,Correct!
256x256,5,2,16,12593.50,Correct!
256x256,5,2,17,9324.06,Correct!
256x256,5,2,18,10832.33,Correct!
256x256,5,2,19,10669.98,Correct!
256x256,5,2,20,10243.90,Correct!
256x256,5,2,21,10477.41,Correct!
256x256,5,2,22,10459.19,Correct!
256x256,5,2,23,12717.28,Correct!
256x256,5,2,24,10211.90,Correct!
256x256,5,2,25,10412.36,Correct!
256x256,5,2,26,9786.83,Correct!
256x256,5,2,27,10838.99,Correct!
256x256,5,2,28,9504.25,Correct!
256x256,5,2,29,8949.44,Correct!
256x256,5,2,30,12516.36,Correct!
256x256,5,4,1,6375.16,Correct!
256x256,5,4,2,6728.07,Correct!
256x256,5,4,3,3017.15,Correct!
256x256,5,4,4,6630.97,Correct!
256x256,5,4,5,3648.21,Correct!
256x256,5,4,6,7395.29,Correct!
256x256,5,4,7,2531.78,Correct!
256x256,5,4,8,5016.91,Correct!
256x256,5,4,9,5781.94,Correct!
256x256,5,4,10,5950.09,Correct!
256x256,5,4,11,5434.06,Correct!
256x256,5,4,12,7295.67,Correct!
256x256,5,4,13,4727.16,Correct!
256x256,5,4,14,6609.56,Correct!
256x256,5,4,15,3679.56,Correct!
256x256,5,4,16,6032.18,Correct!
256x256,5,4,17,4189.69,Correct!
256x256,5,4,18,6522.40,Correct!
256x256,5,4,19,5055.99,Correct!
256x256,5,4,20,6721.04,Correct!
256x256,5,4,21,5353.07,Correct!
256x256,5,4,22,6666.59,Correct!
256x256,5,4,23,5895.17,Correct!
256x256,5,4,24,6723.19,Correct!
256x256,5,4,25,5883.19,Correct!
256x256,5,4,26,5559.60,Correct!
256x256,5,4,27,5716.06,Correct!
256x256,5,4,28,6576.57,Correct!
256x256,5,4,29,5867.51,Correct!
256x256,5,4,30,5917.95,Correct!
256x256,5,8,1,4356.66,Correct!
256x256,5,8,2,4429.53,Correct!
256x256,5,8,3,4811.49,Correct!
256x256,5,8,4,4120.12,Correct!
256x256,5,8,5,4477.28,Correct!
256x256,5,8,6,4376.38,Correct!
256x256,5,8,7,3835.80,Correct!
256x256,5,8,8,4792.76,Correct!
256x256,5,8,9,4482.87,Correct!
256x256,5,8,10,4459.52,Correct!
256x256,5,8,11,4493.84,Correct!
256x256,5,8,12,4673.02,Correct!
256x256,5,8,13,3790.33,Correct!
256x256,5,8,14,4418.89,Correct!
256x256,5,8,15,4601.43,Correct!
256x256,5,8,16,4853.75,Correct!
256x256,5,8,17,3139.36,Correct!
256x256,5,8,18,4652.94,Correct!
256x256,5,8,19,2318.07,Correct!
256x256,5,8,20,4982.48,Correct!
256x256,5,8,21,3571.18,Correct!
256x256,5,8,22,4451.60,Correct!
256x256,5,8,23,4044.72,Correct!
256x256,5,8,24,4426.38,Correct!
256x256,5,8,25,3128.67,Correct!
256x256,5,8,26,4440.12,Correct!
256x256,5,8,27,3323.73,Correct!
256x256,5,8,28,4503.02,Correct!
256x256,5,8,29,2630.72,Correct!
256x256,5,8,30,4275.80,Correct!
256x256,5,16,1,2374.31,Correct!
256x256,5,16,2,3687.50,Correct!
256x256,5,16,3,2175.74,Correct!
256x256,5,16,4,3965.21,Correct!
256x256,5,16,5,3171.64,Correct!
256x256,5,16,6,4748.40,Correct!
256x256,5,16,7,2558.98,Correct!
256x256,5,16,8,3355.15,Correct!
256x256,5,16,9,2442.83,Correct!
256x256,5,16,10,3781.24,Correct!
