Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Microseconds),Correctness
256x256,3,1,1,7081.03,Correct!
256x256,3,1,2,7045.58,Correct!
256x256,3,1,3,6932.49,Correct!
256x256,3,1,4,7130.86,Correct!
256x256,3,1,5,7005.15,Correct!
256x256,3,1,6,6996.17,Correct!
256x256,3,1,7,7252.98,Correct!
256x256,3,1,8,6931.74,Correct!
256x256,3,1,9,6977.02,Correct!
256x256,3,1,10,6756.56,Correct!
256x256,3,1,11,6998.90,Correct!
256x256,3,1,12,7016.46,Correct!
256x256,3,1,13,6418.68,Correct!
256x256,3,1,14,6826.76,Correct!
256x256,3,1,15,7569.90,Correct!
256x256,3,1,16,3662.35,Correct!
256x256,3,1,17,6872.88,Correct!
256x256,3,1,18,6959.71,Correct!
256x256,3,1,19,7196.23,Correct!
256x256,3,1,20,6393.69,Correct!
256x256,3,1,21,6467.29,Correct!
256x256,3,1,22,6988.92,Correct!
256x256,3,1,23,6439.54,Correct!
256x256,3,1,24,6478.06,Correct!
256x256,3,1,25,7092.44,Correct!
256x256,3,1,26,7000.46,Correct!
256x256,3,1,27,8183.99,Correct!
256x256,3,1,28,7104.20,Correct!
256x256,3,1,29,7264.96,Correct!
256x256,3,1,30,6959.78,Correct!
256x256,5,1,1,14030.38,Correct!
256x256,5,1,2,11965.22,Correct!
256x256,5,1,3,14178.35,Correct!
256x256,5,1,4,14270.12,Correct!
256x256,5,1,5,12977.95,Correct!
256x256,5,1,6,16964.59,Correct!
256x256,5,1,7,14175.61,Correct!
256x256,5,1,8,14965.78,Correct!
256x256,5,1,9,15140.85,Correct!
256x256,5,1,10,14172.11,Correct!
256x256,5,1,11,13872.29,Correct!
256x256,5,1,12,13783.47,Correct!
256x256,5,1,13,13967.69,Correct!
256x256,5,1,14,14338.76,Correct!
256x256,5,1,15,14665.43,Correct!
256x256,5,1,16,12632.18,Correct!
256x256,5,1,17,15747.98,Correct!
256x256,5,1,18,14195.13,Correct!
256x256,5,1,19,13868.12,Correct!
256x256,5,1,20,14029.97,Correct!
256x256,5,1,21,14229.43,Correct!
256x256,5,1,22,18510.06,Correct!
256x256,5,1,23,12617.11,Correct!
256x256,5,1,24,13964.10,Correct!
256x256,5,1,25,14189.95,Correct!
256x256,5,1,26,15558.25,Correct!
256x256,5,1,27,13354.61,Correct!
256x256,5,1,28,13163.98,Correct!
256x256,5,1,29,13722.82,Correct!
256x256,5,1,30,14531.62,Correct!
256x256,7,1,1,22191.49,Correct!
256x256,7,1,2,23038.09,Correct!
256x256,7,1,3,24184.74,Correct!
256x256,7,1,4,21702.28,Correct!
256x256,7,1,5,21578.95,Correct!
256x256,7,1,6,16384.11,Correct!
256x256,7,1,7,21743.45,Correct!
256x256,7,1,8,21430.28,Correct!
256x256,7,1,9,21619.89,Correct!
256x256,7,1,10,23267.57,Correct!
256x256,7,1,11,20542.68,Correct!
256x256,7,1,12,21657.30,Correct!
256x256,7,1,13,22050.36,Correct!
256x256,7,1,14,23941.18,Correct!
256x256,7,1,15,20745.47,Correct!
256x256,7,1,16,22205.81,Correct!
256x256,7,1,17,22100.80,Correct!
256x256,7,1,18,23761.49,Correct!
256x256,7,1,19,21676.78,Correct!
256x256,7,1,20,22442.34,Correct!
256x256,7,1,21,21495.86,Correct!
256x256,7,1,22,23594.45,Correct!
256x256,7,1,23,21669.99,Correct!
256x256,7,1,24,15965.47,Correct!
256x256,7,1,25,21890.99,Correct!
256x256,7,1,26,22547.41,Correct!
256x256,7,1,27,16667.68,Correct!
256x256,7,1,28,22186.56,Correct!
256x256,7,1,29,21466.66,Correct!
256x256,7,1,30,21135.74,Correct!
256x256,9,1,1,33208.56,Correct!
256x256,9,1,2,31055.91,Correct!
256x256,9,1,3,29774.09,Correct!
256x256,9,1,4,33406.55,Correct!
256x256,9,1,5,27680.90,Correct!
256x256,9,1,6,30242.92,Correct!
256x256,9,1,7,30988.88,Correct!
256x256,9,1,8,39769.94,Correct!
256x256,9,1,9,31218.50,Correct!
256x256,9,1,10,31132.80,Correct!
256x256,9,1,11,25299.58,Correct!
256x256,9,1,12,24977.63,Correct!
256x256,9,1,13,31340.19,Correct!
256x256,9,1,14,32415.79,Correct!
256x256,9,1,15,28425.02,Correct!
256x256,9,1,16,31441.83,Correct!
256x256,9,1,17,28180.03,Correct!
256x256,9,1,18,25214.22,Correct!
256x256,9,1,19,31402.68,Correct!
256x256,9,1,20,31932.12,Correct!
256x256,9,1,21,32386.48,Correct!
256x256,9,1,22,31434.57,Correct!
256x256,9,1,23,31409.17,Correct!
256x256,9,1,24,31087.44,Correct!
256x256,9,1,25,27799.29,Correct!
256x256,9,1,26,32571.74,Correct!
256x256,9,1,27,31096.86,Correct!
256x256,9,1,28,32020.92,Correct!
256x256,9,1,29,25718.42,Correct!
256x256,9,1,30,25633.50,Correct!
512x512,3,1,1,14823.43,Correct!
512x512,3,1,2,14812.55,Correct!
512x512,3,1,3,21643.63,Correct!
512x512,3,1,4,14815.54,Correct!
512x512,3,1,5,14729.64,Correct!
512x512,3,1,6,14870.20,Correct!
512x512,3,1,7,14839.82,Correct!
512x512,3,1,8,14737.42,Correct!
512x512,3,1,9,14802.74,Correct!
512x512,3,1,10,14782.18,Correct!
512x512,3,1,11,14724.08,Correct!
512x512,3,1,12,14713.49,Correct!
512x512,3,1,13,14715.37,Correct!
512x512,3,1,14,14727.33,Correct!
512x512,3,1,15,14730.58,Correct!
512x512,3,1,16,14711.92,Correct!
512x512,3,1,17,14895.47,Correct!
512x512,3,1,18,14872.59,Correct!
512x512,3,1,19,14646.26,Correct!
512x512,3,1,20,14900.45,Correct!
512x512,3,1,21,14737.50,Correct!
512x512,3,1,22,11580.34,Correct!
512x512,3,1,23,14887.34,Correct!
512x512,3,1,24,14828.06,Correct!
512x512,3,1,25,14784.70,Correct!
512x512,3,1,26,14801.28,Correct!
512x512,3,1,27,11074.49,Correct!
512x512,3,1,28,14727.01,Correct!
512x512,3,1,29,9710.27,Correct!
512x512,3,1,30,12735.85,Correct!
512x512,5,1,1,23462.17,Correct!
512x512,5,1,2,34399.70,Correct!
512x512,5,1,3,29069.58,Correct!
512x512,5,1,4,34526.57,Correct!
512x512,5,1,5,27767.45,Correct!
512x512,5,1,6,23578.33,Correct!
512x512,5,1,7,34174.69,Correct!
512x512,5,1,8,35555.69,Correct!
512x512,5,1,9,28526.75,Correct!
512x512,5,1,10,34308.48,Correct!
512x512,5,1,11,34168.00,Correct!
512x512,5,1,12,34034.90,Correct!
512x512,5,1,13,34311.97,Correct!
512x512,5,1,14,33963.88,Correct!
512x512,5,1,15,34097.29,Correct!
512x512,5,1,16,34012.60,Correct!
512x512,5,1,17,34029.35,Correct!
512x512,5,1,18,33954.20,Correct!
512x512,5,1,19,34439.00,Correct!
512x512,5,1,20,34035.74,Correct!
512x512,5,1,21,33960.04,Correct!
512x512,5,1,22,33990.08,Correct!
512x512,5,1,23,34683.39,Correct!
512x512,5,1,24,34252.12,Correct!
512x512,5,1,25,34469.89,Correct!
512x512,5,1,26,51488.38,Correct!
512x512,5,1,27,34280.61,Correct!
512x512,5,1,28,46252.03,Correct!
512x512,5,1,29,34240.83,Correct!
512x512,5,1,30,34256.81,Correct!
512x512,7,1,1,62550.59,Correct!
512x512,7,1,2,48639.77,Correct!
512x512,7,1,3,48383.36,Correct!
512x512,7,1,4,62307.06,Correct!
512x512,7,1,5,62313.29,Correct!
512x512,7,1,6,62281.99,Correct!
512x512,7,1,7,62756.38,Correct!
512x512,7,1,8,62321.88,Correct!
512x512,7,1,9,62198.47,Correct!
512x512,7,1,10,62383.26,Correct!
512x512,7,1,11,62146.76,Correct!
512x512,7,1,12,62399.38,Correct!
512x512,7,1,13,62186.96,Correct!
512x512,7,1,14,74426.36,Correct!
512x512,7,1,15,62606.94,Correct!
512x512,7,1,16,62253.08,Correct!
512x512,7,1,17,62202.92,Correct!
512x512,7,1,18,47402.24,Correct!
512x512,7,1,19,62164.33,Correct!
512x512,7,1,20,63181.02,Correct!
512x512,7,1,21,45456.41,Correct!
512x512,7,1,22,47416.08,Correct!
512x512,7,1,23,62310.33,Correct!
512x512,7,1,24,78349.50,Correct!
512x512,7,1,25,62404.55,Correct!
512x512,7,1,26,62113.76,Correct!
512x512,7,1,27,39601.75,Correct!
512x512,7,1,28,62141.28,Correct!
512x512,7,1,29,62205.86,Correct!
512x512,7,1,30,67847.16,Correct!
512x512,9,1,1,99391.15,Correct!
512x512,9,1,2,99381.39,Correct!
512x512,9,1,3,115282.07,Correct!
512x512,9,1,4,88417.18,Correct!
512x512,9,1,5,116793.06,Correct!
512x512,9,1,6,114838.58,Correct!
512x512,9,1,7,76880.41,Correct!
512x512,9,1,8,100063.28,Correct!
512x512,9,1,9,110119.03,Correct!
512x512,9,1,10,73729.21,Correct!
512x512,9,1,11,99476.56,Correct!
512x512,9,1,12,99447.64,Correct!
512x512,9,1,13,100074.77,Correct!
512x512,9,1,14,99374.04,Correct!
512x512,9,1,15,99376.93,Correct!
512x512,9,1,16,99506.71,Correct!
512x512,9,1,17,75409.10,Correct!
512x512,9,1,18,99396.24,Correct!
512x512,9,1,19,99388.55,Correct!
512x512,9,1,20,99407.89,Correct!
512x512,9,1,21,71597.04,Correct!
512x512,9,1,22,99693.41,Correct!
512x512,9,1,23,74416.54,Correct!
512x512,9,1,24,99643.15,Correct!
512x512,9,1,25,99622.93,Correct!
512x512,9,1,26,99983.90,Correct!
512x512,9,1,27,99361.42,Correct!
512x512,9,1,28,99368.10,Correct!
512x512,9,1,29,99274.84,Correct!
512x512,9,1,30,99375.02,Correct!
1024x1024,3,1,1,44592.26,Correct!
1024x1024,3,1,2,57722.94,Correct!
1024x1024,3,1,3,61179.21,Correct!
1024x1024,3,1,4,35066.58,Correct!
1024x1024,3,1,5,36097.15,Correct!
1024x1024,3,1,6,63362.96,Correct!
1024x1024,3,1,7,57708.45,Correct!
1024x1024,3,1,8,57416.13,Correct!
1024x1024,3,1,9,62501.98,Correct!
1024x1024,3,1,10,57412.58,Correct!
1024x1024,3,1,11,57590.73,Correct!
1024x1024,3,1,12,38711.57,Correct!
1024x1024,3,1,13,35078.99,Correct!
1024x1024,3,1,14,39559.55,Correct!
1024x1024,3,1,15,59839.25,Correct!
1024x1024,3,1,16,57566.68,Correct!
1024x1024,3,1,17,44007.91,Correct!
1024x1024,3,1,18,57692.53,Correct!
1024x1024,3,1,19,57561.24,Correct!
1024x1024,3,1,20,72417.28,Correct!
1024x1024,3,1,21,48142.69,Correct!
1024x1024,3,1,22,57666.46,Correct!
1024x1024,3,1,23,43768.36,Correct!
1024x1024,3,1,24,41129.76,Correct!
1024x1024,3,1,25,46207.52,Correct!
1024x1024,3,1,26,46740.18,Correct!
1024x1024,3,1,27,57544.81,Correct!
1024x1024,3,1,28,57714.07,Correct!
1024x1024,3,1,29,57798.29,Correct!
1024x1024,3,1,30,57599.51,Correct!
1024x1024,5,1,1,135252.43,Correct!
1024x1024,5,1,2,135565.15,Correct!
1024x1024,5,1,3,164817.83,Correct!
1024x1024,5,1,4,158897.69,Correct!
1024x1024,5,1,5,136703.43,Correct!
1024x1024,5,1,6,134610.43,Correct!
1024x1024,5,1,7,134594.87,Correct!
1024x1024,5,1,8,161285.15,Correct!
1024x1024,5,1,9,134684.17,Correct!
1024x1024,5,1,10,134795.48,Correct!
1024x1024,5,1,11,134452.45,Correct!
1024x1024,5,1,12,134589.72,Correct!
1024x1024,5,1,13,134492.69,Correct!
1024x1024,5,1,14,134507.32,Correct!
1024x1024,5,1,15,153527.36,Correct!
1024x1024,5,1,16,152411.24,Correct!
1024x1024,5,1,17,134598.65,Correct!
1024x1024,5,1,18,136773.30,Correct!
1024x1024,5,1,19,134467.65,Correct!
1024x1024,5,1,20,134869.15,Correct!
1024x1024,5,1,21,134553.63,Correct!
1024x1024,5,1,22,109274.89,Correct!
1024x1024,5,1,23,95789.85,Correct!
1024x1024,5,1,24,94722.43,Correct!
1024x1024,5,1,25,135415.62,Correct!
1024x1024,5,1,26,134938.71,Correct!
1024x1024,5,1,27,81527.70,Correct!
1024x1024,5,1,28,134673.72,Correct!
1024x1024,5,1,29,134508.65,Correct!
1024x1024,5,1,30,164639.81,Correct!
1024x1024,7,1,1,174506.67,Correct!
1024x1024,7,1,2,247411.76,Correct!
1024x1024,7,1,3,251702.35,Correct!
1024x1024,7,1,4,169964.94,Correct!
1024x1024,7,1,5,247569.95,Correct!
1024x1024,7,1,6,247256.35,Correct!
1024x1024,7,1,7,287686.93,Correct!
1024x1024,7,1,8,285185.12,Correct!
1024x1024,7,1,9,250584.21,Correct!
1024x1024,7,1,10,247255.84,Correct!
1024x1024,7,1,11,247533.52,Correct!
1024x1024,7,1,12,277114.55,Correct!
1024x1024,7,1,13,293941.47,Correct!
1024x1024,7,1,14,293651.41,Correct!
1024x1024,7,1,15,247397.77,Correct!
1024x1024,7,1,16,148835.84,Correct!
1024x1024,7,1,17,247351.74,Correct!
1024x1024,7,1,18,288438.53,Correct!
1024x1024,7,1,19,248934.40,Correct!
1024x1024,7,1,20,247445.30,Correct!
1024x1024,7,1,21,247291.08,Correct!
1024x1024,7,1,22,247443.79,Correct!
1024x1024,7,1,23,270685.10,Correct!
1024x1024,7,1,24,247642.90,Correct!
1024x1024,7,1,25,283099.93,Correct!
1024x1024,7,1,26,247500.14,Correct!
1024x1024,7,1,27,247567.88,Correct!
1024x1024,7,1,28,247133.31,Correct!
1024x1024,7,1,29,247447.87,Correct!
1024x1024,7,1,30,248315.90,Correct!
1024x1024,9,1,1,396444.26,Correct!
1024x1024,9,1,2,400342.01,Correct!
1024x1024,9,1,3,396099.95,Correct!
1024x1024,9,1,4,396927.43,Correct!
1024x1024,9,1,5,398319.74,Correct!
1024x1024,9,1,6,398234.67,Correct!
1024x1024,9,1,7,395842.52,Correct!
1024x1024,9,1,8,431470.57,Correct!
1024x1024,9,1,9,311344.30,Correct!
1024x1024,9,1,10,292052.16,Correct!
1024x1024,9,1,11,396087.28,Correct!
1024x1024,9,1,12,398672.70,Correct!
1024x1024,9,1,13,395845.90,Correct!
1024x1024,9,1,14,396396.69,Correct!
1024x1024,9,1,15,276928.69,Correct!
1024x1024,9,1,16,444819.74,Correct!
1024x1024,9,1,17,463530.49,Correct!
1024x1024,9,1,18,458210.22,Correct!
1024x1024,9,1,19,396052.33,Correct!
1024x1024,9,1,20,395808.36,Correct!
1024x1024,9,1,21,395890.81,Correct!
1024x1024,9,1,22,396068.13,Correct!
1024x1024,9,1,23,396187.47,Correct!
1024x1024,9,1,24,396285.65,Correct!
1024x1024,9,1,25,396700.67,Correct!
1024x1024,9,1,26,396069.27,Correct!
1024x1024,9,1,27,483105.70,Correct!
1024x1024,9,1,28,396378.26,Correct!
1024x1024,9,1,29,401304.60,Correct!
1024x1024,9,1,30,395860.61,Correct!
4096x4096,3,1,1,600252.60,Correct!
4096x4096,3,1,2,730652.65,Correct!
4096x4096,3,1,3,910518.66,Correct!
4096x4096,3,1,4,621262.34,Correct!
4096x4096,3,1,5,975307.60,Correct!
4096x4096,3,1,6,576038.29,Correct!
4096x4096,3,1,7,569223.63,Correct!
4096x4096,3,1,8,906338.36,Correct!
4096x4096,3,1,9,730264.81,Correct!
4096x4096,3,1,10,704438.67,Correct!
4096x4096,3,1,11,948794.90,Correct!
4096x4096,3,1,12,577271.64,Correct!
4096x4096,3,1,13,908353.20,Correct!
4096x4096,3,1,14,646110.45,Correct!
4096x4096,3,1,15,714613.48,Correct!
4096x4096,3,1,16,903935.10,Correct!
4096x4096,3,1,17,945889.70,Correct!
4096x4096,3,1,18,667742.45,Correct!
4096x4096,3,1,19,589787.09,Correct!
4096x4096,3,1,20,622257.29,Correct!
4096x4096,3,1,21,567986.21,Correct!
4096x4096,3,1,22,775460.75,Correct!
4096x4096,3,1,23,908216.78,Correct!
4096x4096,3,1,24,560575.58,Correct!
4096x4096,3,1,25,904297.31,Correct!
4096x4096,3,1,26,750747.65,Correct!
4096x4096,3,1,27,968213.23,Correct!
4096x4096,3,1,28,910848.05,Correct!
4096x4096,3,1,29,586389.00,Correct!
4096x4096,3,1,30,587696.69,Correct!
4096x4096,5,1,1,2051519.36,Correct!
4096x4096,5,1,2,2246926.45,Correct!
4096x4096,5,1,3,1555841.44,Correct!
4096x4096,5,1,4,2155245.27,Correct!
4096x4096,5,1,5,2164839.15,Correct!
4096x4096,5,1,6,2175488.00,Correct!
4096x4096,5,1,7,2296225.68,Correct!
4096x4096,5,1,8,1663382.01,Correct!
4096x4096,5,1,9,2251790.98,Correct!
4096x4096,5,1,10,1347787.54,Correct!
4096x4096,5,1,11,2088546.72,Correct!
4096x4096,5,1,12,1445239.34,Correct!
4096x4096,5,1,13,2294080.82,Correct!
4096x4096,5,1,14,2140368.33,Correct!
4096x4096,5,1,15,2368824.28,Correct!
4096x4096,5,1,16,1416595.56,Correct!
4096x4096,5,1,17,2004335.75,Correct!
4096x4096,5,1,18,1391872.84,Correct!
4096x4096,5,1,19,1489791.25,Correct!
4096x4096,5,1,20,2291059.22,Correct!
4096x4096,5,1,21,1566407.25,Correct!
4096x4096,5,1,22,1457471.61,Correct!
4096x4096,5,1,23,1460543.54,Correct!
4096x4096,5,1,24,2024195.85,Correct!
4096x4096,5,1,25,1355304.16,Correct!
4096x4096,5,1,26,1343046.06,Correct!
4096x4096,5,1,27,1412183.26,Correct!
4096x4096,5,1,28,2140084.85,Correct!
4096x4096,5,1,29,1374672.38,Correct!
4096x4096,5,1,30,1945860.05,Correct!
4096x4096,7,1,1,4297182.01,Correct!
4096x4096,7,1,2,3883454.92,Correct!
4096x4096,7,1,3,3947346.54,Correct!
4096x4096,7,1,4,2585766.46,Correct!
4096x4096,7,1,5,3889519.21,Correct!
4096x4096,7,1,6,2824530.30,Correct!
4096x4096,7,1,7,2948602.97,Correct!
4096x4096,7,1,8,3678072.49,Correct!
4096x4096,7,1,9,4262037.60,Correct!
4096x4096,7,1,10,2650171.69,Correct!
4096x4096,7,1,11,4314438.57,Correct!
4096x4096,7,1,12,4319155.85,Correct!
