Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Microseconds),Correctness
256x256,3,1,1,5910.80,Correct!
256x256,3,1,2,8383.49,Correct!
256x256,3,1,3,6994.55,Correct!
256x256,3,1,4,7703.62,Correct!
256x256,3,1,5,5101.52,Correct!
256x256,3,1,6,6374.26,Correct!
256x256,3,1,7,5454.68,Correct!
256x256,3,1,8,4365.97,Correct!
256x256,3,1,9,5856.77,Correct!
256x256,3,1,10,6985.29,Correct!
256x256,3,1,11,6899.45,Correct!
256x256,3,1,12,5891.91,Correct!
256x256,3,1,13,4929.00,Correct!
256x256,3,1,14,6060.84,Correct!
256x256,3,1,15,4786.85,Correct!
256x256,3,1,16,5835.19,Correct!
256x256,3,1,17,8262.18,Correct!
256x256,3,1,18,7070.81,Correct!
256x256,3,1,19,4764.90,Correct!
256x256,3,1,20,4985.37,Correct!
256x256,3,2,1,5313.22,Correct!
256x256,3,2,2,5664.14,Correct!
256x256,3,2,3,2235.48,Correct!
256x256,3,2,4,3178.48,Correct!
256x256,3,2,5,2286.43,Correct!
256x256,3,2,6,5577.93,Correct!
256x256,3,2,7,5748.16,Correct!
256x256,3,2,8,9488.85,Correct!
256x256,3,2,9,3149.62,Correct!
256x256,3,2,10,2944.56,Correct!
256x256,3,2,11,2756.07,Correct!
256x256,3,2,12,5464.47,Correct!
256x256,3,2,13,2559.57,Correct!
256x256,3,2,14,4953.70,Correct!
256x256,3,2,15,2348.12,Correct!
256x256,3,2,16,4441.86,Correct!
256x256,3,2,17,2294.34,Correct!
256x256,3,2,18,4104.49,Correct!
256x256,3,2,19,2799.56,Correct!
256x256,3,2,20,3738.23,Correct!
256x256,3,4,1,1961.11,Correct!
256x256,3,4,2,2376.76,Correct!
256x256,3,4,3,3375.93,Correct!
256x256,3,4,4,1688.34,Correct!
256x256,3,4,5,3149.45,Correct!
256x256,3,4,6,2483.32,Correct!
256x256,3,4,7,2877.45,Correct!
256x256,3,4,8,4244.01,Correct!
256x256,3,4,9,3714.30,Correct!
256x256,3,4,10,2472.33,Correct!
256x256,3,4,11,3417.91,Correct!
256x256,3,4,12,2664.19,Correct!
256x256,3,4,13,3408.26,Correct!
256x256,3,4,14,3561.51,Correct!
256x256,3,4,15,1605.12,Correct!
256x256,3,4,16,2040.71,Correct!
256x256,3,4,17,2812.43,Correct!
256x256,3,4,18,3986.82,Correct!
256x256,3,4,19,3352.87,Correct!
256x256,3,4,20,3266.11,Correct!
256x256,3,8,1,1579.36,Correct!
256x256,3,8,2,2098.29,Correct!
256x256,3,8,3,2458.41,Correct!
256x256,3,8,4,2289.65,Correct!
256x256,3,8,5,2424.89,Correct!
256x256,3,8,6,1183.35,Correct!
256x256,3,8,7,1396.90,Correct!
256x256,3,8,8,2150.55,Correct!
256x256,3,8,9,1642.44,Correct!
256x256,3,8,10,1291.93,Correct!
256x256,3,8,11,1650.67,Correct!
256x256,3,8,12,1968.19,Correct!
256x256,3,8,13,1587.28,Correct!
256x256,3,8,14,3394.61,Correct!
256x256,3,8,15,1268.74,Correct!
256x256,3,8,16,1592.93,Correct!
256x256,3,8,17,9435.05,Correct!
256x256,3,8,18,2075.40,Correct!
256x256,3,8,19,2110.98,Correct!
256x256,3,8,20,1939.09,Correct!
256x256,3,16,1,6968.50,Correct!
256x256,3,16,2,1828.53,Correct!
256x256,3,16,3,14878.12,Correct!
256x256,3,16,4,1597.33,Correct!
256x256,3,16,5,1938.49,Correct!
256x256,3,16,6,1330.33,Correct!
256x256,3,16,7,2255.55,Correct!
256x256,3,16,8,1753.25,Correct!
256x256,3,16,9,1809.75,Correct!
256x256,3,16,10,2053.74,Correct!
