Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Microseconds),Correctness
256x256,3,1,1,,
256x256,3,1,2,,
256x256,3,1,3,,
256x256,3,1,4,,
256x256,3,1,5,,
256x256,3,1,6,,
256x256,3,1,7,,
256x256,3,1,8,,
256x256,3,1,9,,
256x256,3,1,10,,
256x256,3,1,11,,
256x256,3,1,12,,
256x256,3,1,13,,
256x256,3,1,14,,
256x256,3,1,15,,
256x256,3,1,16,,
256x256,3,1,17,,
256x256,3,1,18,,
256x256,3,1,19,,
256x256,3,1,20,,
256x256,3,1,21,,
256x256,3,1,22,,
256x256,3,1,23,,
256x256,3,1,24,,
256x256,3,1,25,,
256x256,3,1,26,,
256x256,3,1,27,,
256x256,3,1,28,,
256x256,3,1,29,,
256x256,3,1,30,,
256x256,3,1,1,7459.06,Correct!
256x256,3,1,2,7254.37,Correct!
256x256,3,1,3,3979.88,Correct!
256x256,3,1,4,3960.74,Correct!
256x256,3,1,5,7984.76,Correct!
256x256,3,1,6,5178.60,Correct!
256x256,3,1,7,7375.68,Correct!
256x256,3,1,8,4791.76,Correct!
256x256,3,1,9,7536.60,Correct!
256x256,3,1,10,4368.52,Correct!
256x256,3,1,11,7519.03,Correct!
256x256,3,1,12,7534.00,Correct!
256x256,3,1,13,7541.68,Correct!
256x256,3,1,14,7390.93,Correct!
256x256,3,1,15,7707.27,Correct!
256x256,3,1,16,7505.81,Correct!
256x256,3,1,17,6920.02,Correct!
256x256,3,1,18,7180.98,Correct!
256x256,3,1,19,7284.23,Correct!
256x256,3,1,20,7547.88,Correct!
256x256,3,1,21,7726.73,Correct!
256x256,3,1,22,7292.42,Correct!
256x256,3,1,23,7525.61,Correct!
256x256,3,1,24,7890.15,Correct!
256x256,3,1,25,7256.34,Correct!
256x256,3,1,26,6260.49,Correct!
256x256,3,1,27,7266.31,Correct!
256x256,3,1,28,7393.39,Correct!
256x256,3,1,29,7539.79,Correct!
256x256,3,1,30,8438.40,Correct!
256x256,3,2,1,2277.73,Correct!
256x256,3,2,2,3787.87,Correct!
256x256,3,2,3,5874.68,Correct!
256x256,3,2,4,6215.54,Correct!
256x256,3,2,5,6103.59,Correct!
256x256,3,2,6,5445.05,Correct!
256x256,3,2,7,5379.62,Correct!
256x256,3,2,8,4934.58,Correct!
256x256,3,2,9,5685.82,Correct!
256x256,3,2,10,2509.21,Correct!
256x256,3,2,11,5706.47,Correct!
256x256,3,2,12,3415.10,Correct!
256x256,3,2,13,5894.25,Correct!
256x256,3,2,14,5550.65,Correct!
256x256,3,2,15,4332.66,Correct!
256x256,3,2,16,5613.47,Correct!
256x256,3,2,17,4303.05,Correct!
256x256,3,2,18,5907.06,Correct!
256x256,3,2,19,4361.92,Correct!
256x256,3,2,20,5695.87,Correct!
256x256,3,2,21,3495.34,Correct!
256x256,3,2,22,5580.76,Correct!
256x256,3,2,23,2382.47,Correct!
256x256,3,2,24,5574.89,Correct!
256x256,3,2,25,4359.62,Correct!
256x256,3,2,26,5732.11,Correct!
256x256,3,2,27,4276.04,Correct!
256x256,3,2,28,4800.98,Correct!
256x256,3,2,29,4335.27,Correct!
256x256,3,2,30,5958.82,Correct!
256x256,3,4,1,1641.13,Correct!
256x256,3,4,2,3224.78,Correct!
256x256,3,4,3,3616.22,Correct!
256x256,3,4,4,2833.21,Correct!
256x256,3,4,5,3564.41,Correct!
256x256,3,4,6,2613.22,Correct!
256x256,3,4,7,3616.99,Correct!
256x256,3,4,8,1839.26,Correct!
256x256,3,4,9,3922.99,Correct!
256x256,3,4,10,1298.01,Correct!
256x256,3,4,11,1864.88,Correct!
256x256,3,4,12,3729.26,Correct!
256x256,3,4,13,1598.07,Correct!
256x256,3,4,14,3585.00,Correct!
256x256,3,4,15,3401.36,Correct!
256x256,3,4,16,3794.56,Correct!
256x256,3,4,17,3019.48,Correct!
256x256,3,4,18,2978.66,Correct!
256x256,3,4,19,3741.34,Correct!
256x256,3,4,20,3571.39,Correct!
256x256,3,4,21,3683.16,Correct!
256x256,3,4,22,3600.40,Correct!
256x256,3,4,23,3681.68,Correct!
256x256,3,4,24,3619.77,Correct!
256x256,3,4,25,3899.94,Correct!
256x256,3,4,26,3544.78,Correct!
256x256,3,4,27,3782.27,Correct!
256x256,3,4,28,3638.88,Correct!
256x256,3,4,29,3635.64,Correct!
256x256,3,4,30,3574.30,Correct!
256x256,3,8,1,2995.27,Correct!
256x256,3,8,2,2601.26,Correct!
256x256,3,8,3,2896.37,Correct!
256x256,3,8,4,2558.34,Correct!
256x256,3,8,5,2844.04,Correct!
256x256,3,8,6,2581.09,Correct!
256x256,3,8,7,2890.94,Correct!
256x256,3,8,8,2732.47,Correct!
256x256,3,8,9,1621.24,Correct!
256x256,3,8,10,2391.86,Correct!
256x256,3,8,11,1668.88,Correct!
256x256,3,8,12,3042.98,Correct!
256x256,3,8,13,2641.32,Correct!
256x256,3,8,14,2805.05,Correct!
256x256,3,8,15,2132.84,Correct!
256x256,3,8,16,2636.78,Correct!
256x256,3,8,17,2451.54,Correct!
256x256,3,8,18,2707.51,Correct!
256x256,3,8,19,2242.39,Correct!
256x256,3,8,20,2481.92,Correct!
256x256,3,8,21,2139.35,Correct!
256x256,3,8,22,2591.39,Correct!
256x256,3,8,23,2021.94,Correct!
256x256,3,8,24,2192.27,Correct!
256x256,3,8,25,2446.61,Correct!
256x256,3,8,26,2729.43,Correct!
256x256,3,8,27,2964.91,Correct!
256x256,3,8,28,2867.65,Correct!
256x256,3,8,29,2779.27,Correct!
256x256,3,8,30,2524.64,Correct!
256x256,3,16,1,1722.05,Correct!
256x256,3,16,2,2420.43,Correct!
256x256,3,16,3,1677.12,Correct!
256x256,3,16,4,1662.38,Correct!
256x256,3,16,5,3100.38,Correct!
256x256,3,16,6,1815.88,Correct!
256x256,3,16,7,2308.79,Correct!
256x256,3,16,8,1748.48,Correct!
256x256,3,16,9,3108.37,Correct!
256x256,3,16,10,1683.43,Correct!
256x256,3,16,11,2007.59,Correct!
256x256,3,16,12,2753.36,Correct!
256x256,3,16,13,2223.09,Correct!
256x256,3,16,14,2217.44,Correct!
256x256,3,16,15,2408.11,Correct!
256x256,3,16,16,2465.14,Correct!
256x256,3,16,17,2432.68,Correct!
256x256,3,16,18,2487.92,Correct!
256x256,3,16,19,2511.21,Correct!
256x256,3,16,20,2614.16,Correct!
256x256,3,16,21,2435.45,Correct!
256x256,3,16,22,2999.14,Correct!
256x256,3,16,23,2939.60,Correct!
256x256,3,16,24,2279.88,Correct!
256x256,3,16,25,2855.99,Correct!
256x256,3,16,26,2492.25,Correct!
256x256,3,16,27,2373.01,Correct!
256x256,3,16,28,2412.97,Correct!
256x256,3,16,29,2727.64,Correct!
256x256,3,16,30,2724.28,Correct!
256x256,3,32,1,3136.21,Correct!
256x256,3,32,2,3001.90,Correct!
256x256,3,32,3,3052.78,Correct!
256x256,3,32,4,3591.93,Correct!
256x256,3,32,5,4299.24,Correct!
256x256,3,32,6,1973.46,Correct!
256x256,3,32,7,3618.08,Correct!
256x256,3,32,8,2888.88,Correct!
256x256,3,32,9,3326.05,Correct!
256x256,3,32,10,2109.21,Correct!
256x256,3,32,11,3441.20,Correct!
256x256,3,32,12,1975.19,Correct!
256x256,3,32,13,3034.24,Correct!
256x256,3,32,14,2973.87,Correct!
256x256,3,32,15,2081.56,Correct!
256x256,3,32,16,3196.81,Correct!
256x256,3,32,17,2131.43,Correct!
256x256,3,32,18,2838.54,Correct!
256x256,3,32,19,3041.67,Correct!
256x256,3,32,20,3948.12,Correct!
256x256,3,32,21,2068.18,Correct!
256x256,3,32,22,4078.77,Correct!
256x256,3,32,23,3464.27,Correct!
256x256,3,32,24,3240.74,Correct!
256x256,3,32,25,2075.96,Correct!
256x256,3,32,26,4164.74,Correct!
256x256,3,32,27,3708.34,Correct!
256x256,3,32,28,3287.16,Correct!
256x256,3,32,29,2374.07,Correct!
256x256,3,32,30,3060.55,Correct!
256x256,5,1,1,,
256x256,5,1,2,,
256x256,5,1,3,,
256x256,5,1,4,,
256x256,5,1,5,,
256x256,5,1,6,,
256x256,5,1,7,,
256x256,5,1,8,,
256x256,5,1,9,,
256x256,5,1,10,,
256x256,5,1,11,,
256x256,5,1,12,,
256x256,5,1,13,,
256x256,5,1,14,,
256x256,5,1,15,,
256x256,5,1,16,,
256x256,5,1,17,,
256x256,5,1,18,,
256x256,5,1,19,,
256x256,5,1,20,,
256x256,5,1,21,,
256x256,5,1,22,,
256x256,5,1,23,,
256x256,5,1,24,,
256x256,5,1,25,,
256x256,5,1,26,,
256x256,5,1,27,,
256x256,5,1,28,,
256x256,5,1,29,,
256x256,5,1,30,,
256x256,5,1,1,20106.74,Correct!
256x256,5,1,2,16398.80,Correct!
256x256,5,1,3,15147.74,Correct!
256x256,5,1,4,10776.98,Correct!
256x256,5,1,5,15211.71,Correct!
256x256,5,1,6,15773.17,Correct!
256x256,5,1,7,14647.91,Correct!
256x256,5,1,8,18715.70,Correct!
256x256,5,1,9,9341.28,Correct!
256x256,5,1,10,15490.00,Correct!
256x256,5,1,11,9295.73,Correct!
256x256,5,1,12,15743.59,Correct!
256x256,5,1,13,9278.24,Correct!
256x256,5,1,14,14806.37,Correct!
256x256,5,1,15,9279.32,Correct!
256x256,5,1,16,17490.08,Correct!
256x256,5,1,17,10020.46,Correct!
256x256,5,1,18,14832.71,Correct!
256x256,5,1,19,9277.91,Correct!
256x256,5,1,20,15488.38,Correct!
256x256,5,1,21,15305.15,Correct!
256x256,5,1,22,14859.04,Correct!
256x256,5,1,23,9829.25,Correct!
256x256,5,1,24,15219.70,Correct!
256x256,5,1,25,14354.42,Correct!
256x256,5,1,26,10124.02,Correct!
256x256,5,1,27,11083.73,Correct!
256x256,5,1,28,15283.25,Correct!
256x256,5,1,29,16272.38,Correct!
256x256,5,1,30,14983.53,Correct!
256x256,5,2,1,12656.80,Correct!
256x256,5,2,2,12754.00,Correct!
256x256,5,2,3,12492.65,Correct!
256x256,5,2,4,12872.18,Correct!
256x256,5,2,5,12661.26,Correct!
256x256,5,2,6,12703.33,Correct!
256x256,5,2,7,12548.85,Correct!
256x256,5,2,8,12541.93,Correct!
256x256,5,2,9,12513.46,Correct!
256x256,5,2,10,12625.09,Correct!
256x256,5,2,11,12658.73,Correct!
256x256,5,2,12,12946.41,Correct!
256x256,5,2,13,4933.16,Correct!
256x256,5,2,14,8676.10,Correct!
256x256,5,2,15,7938.33,Correct!
256x256,5,2,16,12784.61,Correct!
256x256,5,2,17,8636.27,Correct!
256x256,5,2,18,12533.73,Correct!
256x256,5,2,19,9149.64,Correct!
256x256,5,2,20,12527.25,Correct!
256x256,5,2,21,12558.36,Correct!
256x256,5,2,22,5640.79,Correct!
256x256,5,2,23,7980.06,Correct!
256x256,5,2,24,12532.45,Correct!
256x256,5,2,25,16138.02,Correct!
256x256,5,2,26,8248.55,Correct!
256x256,5,2,27,8572.40,Correct!
256x256,5,2,28,12691.01,Correct!
256x256,5,2,29,12619.75,Correct!
256x256,5,2,30,12617.63,Correct!
256x256,5,4,1,7342.31,Correct!
256x256,5,4,2,7086.52,Correct!
256x256,5,4,3,7268.27,Correct!
256x256,5,4,4,6884.50,Correct!
256x256,5,4,5,5416.41,Correct!
256x256,5,4,6,6953.10,Correct!
256x256,5,4,7,7291.68,Correct!
256x256,5,4,8,7338.57,Correct!
256x256,5,4,9,5311.09,Correct!
256x256,5,4,10,7650.40,Correct!
256x256,5,4,11,2935.26,Correct!
256x256,5,4,12,6360.48,Correct!
256x256,5,4,13,7067.09,Correct!
256x256,5,4,14,6720.72,Correct!
256x256,5,4,15,7024.31,Correct!
256x256,5,4,16,3199.16,Correct!
256x256,5,4,17,8257.67,Correct!
256x256,5,4,18,2940.22,Correct!
256x256,5,4,19,4123.17,Correct!
256x256,5,4,20,6998.71,Correct!
256x256,5,4,21,3185.05,Correct!
256x256,5,4,22,6837.17,Correct!
256x256,5,4,23,2949.21,Correct!
256x256,5,4,24,4807.87,Correct!
256x256,5,4,25,6907.74,Correct!
256x256,5,4,26,6718.01,Correct!
256x256,5,4,27,6803.64,Correct!
256x256,5,4,28,7116.26,Correct!
256x256,5,4,29,7094.76,Correct!
256x256,5,4,30,7101.69,Correct!
256x256,5,8,1,4295.15,Correct!
256x256,5,8,2,4367.06,Correct!
256x256,5,8,3,4304.46,Correct!
256x256,5,8,4,4641.08,Correct!
256x256,5,8,5,4281.01,Correct!
256x256,5,8,6,4731.43,Correct!
256x256,5,8,7,4286.14,Correct!
256x256,5,8,8,4390.62,Correct!
256x256,5,8,9,4314.49,Correct!
256x256,5,8,10,4416.33,Correct!
256x256,5,8,11,4555.79,Correct!
256x256,5,8,12,4814.17,Correct!
256x256,5,8,13,4308.59,Correct!
256x256,5,8,14,4601.95,Correct!
256x256,5,8,15,4819.06,Correct!
256x256,5,8,16,6778.64,Correct!
256x256,5,8,17,4185.19,Correct!
256x256,5,8,18,4818.83,Correct!
256x256,5,8,19,3862.16,Correct!
256x256,5,8,20,4506.68,Correct!
256x256,5,8,21,4209.95,Correct!
256x256,5,8,22,4433.45,Correct!
256x256,5,8,23,3750.14,Correct!
256x256,5,8,24,4342.36,Correct!
256x256,5,8,25,3704.97,Correct!
256x256,5,8,26,3722.18,Correct!
256x256,5,8,27,4571.55,Correct!
256x256,5,8,28,4197.28,Correct!
256x256,5,8,29,4210.93,Correct!
256x256,5,8,30,5779.81,Correct!
256x256,5,16,1,3432.09,Correct!
256x256,5,16,2,3845.81,Correct!
256x256,5,16,3,2677.00,Correct!
256x256,5,16,4,3202.74,Correct!
256x256,5,16,5,2949.08,Correct!
256x256,5,16,6,3469.36,Correct!
256x256,5,16,7,3917.37,Correct!
256x256,5,16,8,2669.26,Correct!
256x256,5,16,9,3082.14,Correct!
256x256,5,16,10,2642.48,Correct!
